token_354	p95_baseline	p95_cleaned	p95_delta_pct	p99_baseline	p99_cleaned	p99_delta_pct
ㄡˇ	16.9	15.625	-7.544378698224845	18.8	17.662500000000005	-6.050531914893594
ㄡˉ	10.3	9.375000000000009	-8.980582524271764	14.4	14.375000000000007	-0.17361111111106423
ㄡˊ	15.6	15.0	-3.8461538461538445	16.9	16.387500000000028	-3.0325443786980526
ㄡˋ	13.8	13.750000000000004	-0.36231884057968955	15.0	15.356249999999966	2.3749999999997704
ㄡ˙	13.1	13.124999999999996	0.19083969465646414	14.0	14.25624999999999	1.830357142857077
ㄢˇ	16.4	14.99999999999999	-8.536585365853716	18.7	18.125	-3.074866310160424
ㄢˉ	16.3	16.25	-0.30674846625767305	19.4	19.093749999999982	-1.5786082474227647
ㄢˊ	16.2	15.000000000000014	-7.407407407407315	18.1	18.125	0.13812154696131812
ㄢˋ	16.2	15.625	-3.5493827160493785	20.6	19.537499999999994	-5.157766990291296
ㄢ˙	16.2	16.812499999999968	3.7808641975306716	24.4	25.499999999999996	4.508196721311467
ㄣˇ	11.3	10.000000000000009	-11.504424778760988	20.2	14.375000000000016	-28.836633663366257
ㄣˉ	13.1	12.500000000000009	-4.5801526717556555	16.2	15.000000000000014	-7.407407407407315
ㄣˊ	16.3	15.593750000000028	-4.332822085889401	18.1	17.5	-3.3149171270718307
ㄣˋ	14.4	13.750000000000004	-4.513888888888866	17.6	16.837499999999963	-4.332386363636581
ㄣ˙	12.5	11.875000000000004	-4.999999999999972	15.6	15.0	-3.8461538461538445
ㄤˇ	17.5	15.000000000000014	-14.285714285714205	18.7	18.125	-3.074866310160424
ㄤˉ	14.2	13.75	-3.169014084507037	16.2	15.625000000000004	-3.5493827160493567
ㄤˊ	16.2	15.625	-3.5493827160493785	18.1	17.681249999999984	-2.3135359116023038
ㄤˋ	15.0	15.0	0.0	16.9	16.875	-0.14792899408283183
ㄤ˙	13.8	12.406250000000009	-10.099637681159361	14.5	13.856250000000001	-4.439655172413786
ㄥˇ	14.8	12.21874999999998	-17.440878378378514	18.1	14.818750000000005	-18.12845303867401
ㄥˉ	15.0	14.375	-4.166666666666666	16.3	16.24999999999999	-0.30674846625773844
ㄥˊ	15.6	13.124999999999998	-15.865384615384626	18.1	17.50000000000001	-3.3149171270717717
ㄥˋ	13.8	13.124999999999993	-4.891304347826144	16.9	16.875	-0.14792899408283183
ㄥ˙	14.9	15.093749999999995	1.3003355704697606	19.0	19.18124999999998	0.9539473684209517
ㄦˇ	15.6	14.281250000000002	-8.453525641025628	18.8	16.674999999999965	-11.303191489361891
ㄦˊ	13.1	13.499999999999986	3.0534351145037113	15.6	16.075000000000017	3.0448717948719066
ㄦˋ	19.0	18.93749999999999	-0.3289473684211087	22.9	23.200000000000003	1.3100436681222893
ㄦ˙	12.9	12.500000000000002	-3.1007751937984382	17.1	15.625	-8.625730994152054
ㄧˇ	16.2	14.375	-11.265432098765428	21.2	18.125000000000004	-14.504716981132058
ㄧˉ	15.0	15.000000000000007	4.7369515717340014e-14	22.1	22.49999999999999	1.809954751131167
ㄧˊ	15.6	13.750000000000009	-11.8589743589743	19.4	18.750000000000004	-3.3505154639175005
ㄧˋ	15.0	14.375	-4.166666666666666	20.1	19.53125	-2.829601990049758
ㄧ˙	13.9	14.375	3.417266187050357	15.8	15.999999999999996	1.2658227848100996
ㄧㄚˇ	20.0	19.374999999999996	-3.125000000000018	23.1	23.125000000000007	0.10822510822513284
ㄧㄚˉ	15.6	15.625	0.16025641025641252	20.0	20.000000000000004	1.7763568394002505e-14
ㄧㄚˊ	21.2	19.43750000000001	-8.313679245282964	23.3	23.387499999999985	0.3755364806866282
ㄧㄚˋ	15.0	14.999999999999986	-9.473903143468003e-14	17.5	17.499999999999996	-2.030122102171715e-14
ㄧㄚ˙	20.6	20.625	0.12135922330096396	21.6	21.581250000000004	-0.08680555555554238
ㄧㄛˉ	22.7	22.937499999999993	1.0462555066079013	23.0	23.08749999999999	0.3804347826086586
ㄧㄛ˙	21.5	19.81250000000002	-7.848837209302227	22.3	19.96250000000002	-10.482062780268972
ㄧㄝˇ	13.1	13.124999999999998	0.1908396946564777	16.8	16.250000000000004	-3.273809523809507
ㄧㄝˉ	13.7	12.187499999999998	-11.040145985401468	16.2	16.312500000000014	0.6944444444445366
ㄧㄝˊ	15.6	14.375	-7.852564102564101	18.1	17.09375000000001	-5.559392265193319
ㄧㄝˋ	20.0	18.125000000000004	-9.374999999999982	23.1	22.500000000000007	-2.5974025974025725
ㄧㄝ˙	18.7	17.625	-5.748663101604275	21.4	21.674999999999976	1.2850467289718563
ㄧㄠˇ	17.5	15.625	-10.714285714285714	21.3	19.375000000000004	-9.037558685445996
ㄧㄠˉ	16.9	15.687499999999977	-7.17455621301788	21.5	20.000000000000004	-6.976744186046495
ㄧㄠˊ	17.5	16.875	-3.571428571428571	23.1	23.018750000000022	-0.3517316017315125
ㄧㄠˋ	15.6	14.375	-7.852564102564101	19.4	18.124999999999986	-6.5721649484536755
ㄧㄠ˙	9.1	9.125	0.27472527472527863	10.8	10.824999999999982	0.23148148148130382
ㄧㄡˇ	15.6	13.749999999999996	-11.858974358974379	20.2	18.143749999999986	-10.179455445544617
ㄧㄡˉ	15.6	14.468749999999986	-7.251602564102654	19.9	20.16249999999999	1.3190954773868955
ㄧㄡˊ	17.5	15.625	-10.714285714285714	21.9	21.143750000000015	-3.4531963470318896
ㄧㄡˋ	13.1	13.124999999999996	0.19083969465646414	15.4	14.999999999999986	-2.597402597402692
ㄧㄡ˙	16.1	15.749999999999993	-2.1739130434783136	17.7	17.762500000000003	0.3531073446327884
ㄧㄢˇ	20.0	18.125000000000004	-9.374999999999982	23.8	22.318750000000016	-6.223739495798256
ㄧㄢˉ	16.9	16.25	-3.846153846153838	21.0	19.999999999999996	-4.761904761904779
ㄧㄢˊ	19.4	18.750000000000004	-3.3505154639175005	24.4	23.749999999999993	-2.6639344262295315
ㄧㄢˋ	18.1	17.49999999999999	-3.31491712707189	22.5	21.874999999999993	-2.777777777777809
ㄧㄢ˙	16.5	16.46875	-0.1893939393939394	17.3	17.293750000000003	-0.03612716763004548
ㄧㄣˇ	17.4	16.249999999999986	-6.6091954022989245	21.2	18.5375	-12.558962264150933
ㄧㄣˉ	16.9	16.249999999999986	-3.846153846153922	21.4	21.237500000000004	-0.7593457943924968
ㄧㄣˊ	18.7	17.5	-6.417112299465237	24.0	22.468749999999986	-6.3802083333333925
ㄧㄣˋ	15.6	15.625	0.16025641025641252	17.4	17.031249999999996	-2.1192528735632306
ㄧㄣ˙	12.5	12.500000000000005	4.263256414560601e-14	15.5	15.499999999999993	-4.584146682323227e-14
ㄧㄤˇ	17.5	16.25	-7.142857142857142	22.1	18.800000000000026	-14.932126696832468
ㄧㄤˉ	15.0	14.999999999999991	-5.921189464667501e-14	18.4	17.418750000000003	-5.332880434782586
ㄧㄤˊ	19.4	18.781249999999986	-3.189432989690788	21.9	20.756250000000026	-5.222602739725901
ㄧㄤˋ	18.8	18.125	-3.590425531914897	20.6	20.000000000000004	-2.9126213592232904
ㄧㄤ˙	20.1	20.3125	1.0572139303482517	26.3	27.1875	3.3745247148288944
ㄧㄥˇ	19.4	17.500000000000007	-9.793814432989647	22.7	21.25	-6.387665198237882
ㄧㄥˉ	15.6	15.00000000000001	-3.8461538461537756	19.4	18.843750000000046	-2.8672680412368683
ㄧㄥˊ	18.1	16.875	-6.76795580110498	20.9	20.625000000000004	-1.3157894736841869
ㄧㄥˋ	15.6	15.625	0.16025641025641252	18.7	18.125	-3.074866310160424
ㄧㄥ˙	15.6	15.625	0.16025641025641252	17.5	17.500000000000007	4.06024420434343e-14
ㄨˇ	16.9	14.999999999999986	-11.242603550295934	21.3	20.000000000000014	-6.103286384976462
ㄨˉ	13.1	12.500000000000012	-4.580152671755627	15.7	15.625	-0.4777070063694222
ㄨˊ	12.5	11.250000000000009	-9.999999999999929	16.9	16.875	-0.14792899408283183
ㄨˋ	13.7	13.124999999999998	-4.197080291970811	17.5	16.250000000000014	-7.142857142857062
ㄨ˙	12.5	12.499999999999998	-1.4210854715202004e-14	14.8	13.574999999999998	-8.277027027027048
ㄨㄚˇ	18.6	18.125000000000004	-2.5537634408602035	19.1	18.512500000000003	-3.0759162303664844
ㄨㄚˉ	15.6	15.343749999999973	-1.6426282051283738	17.8	16.875	-5.19662921348315
ㄨㄚˊ	16.6	16.874999999999996	1.6566265060240664	18.1	18.13750000000001	0.20718232044203605
ㄨㄚˋ	15.0	15.000000000000007	4.7369515717340014e-14	16.4	16.612499999999997	1.2957317073170647
ㄨㄚ˙	24.4	19.99999999999999	-18.03278688524594	26.4	23.625	-10.511363636363631
ㄨㄛˇ	12.5	11.250000000000037	-9.999999999999702	20.6	19.99999999999999	-2.912621359223359
ㄨㄛˉ	15.6	15.0	-3.8461538461538445	17.5	16.875	-3.571428571428571
ㄨㄛˊ	15.0	14.375000000000021	-4.166666666666525	21.3	21.875000000000004	2.6995305164319383
ㄨㄛˋ	15.6	15.0	-3.8461538461538445	17.5	17.5	0.0
ㄨㄛ˙	13.5	13.187499999999998	-2.3148148148148278	14.1	13.749999999999995	-2.4822695035461346
ㄨㄞˇ	13.7	13.749999999999998	0.36496350364962726	16.8	16.750000000000018	-0.29761904761894614
ㄨㄞˉ	15.8	15.9375	0.8702531645569574	17.5	17.500000000000014	8.12048840868686e-14
ㄨㄞˊ	9.4	9.374999999999995	-0.2659574468085711	16.3	16.26874999999996	-0.19171779141128267
ㄨㄞˋ	18.1	16.875	-6.76795580110498	21.4	21.250000000000004	-0.7009345794392292
ㄨㄞ˙	13.8	13.562500000000007	-1.7210144927535767	13.8	13.712500000000011	-0.6340579710144181
ㄨㄟˇ	20.0	19.375000000000004	-3.1249999999999822	22.2	22.5	1.3513513513513546
ㄨㄟˉ	15.6	15.000000000000014	-3.8461538461537526	18.1	17.500000000000004	-3.314917127071811
ㄨㄟˊ	17.2	16.875	-1.8895348837209263	21.9	21.875000000000007	-0.11415525114151358
ㄨㄟˋ	16.9	16.249999999999986	-3.846153846153922	20.6	19.325000000000042	-6.1893203883493175
ㄨㄟ˙	6.9	6.874999999999999	-0.36231884057972813	16.4	16.45	0.30487804878049213
ㄨㄢˇ	20.0	19.374999999999993	-3.1250000000000355	23.7	22.499999999999996	-5.063291139240519
ㄨㄢˉ	16.9	16.874999999999993	-0.14792899408287388	18.8	18.531249999999986	-1.4295212765958238
ㄨㄢˊ	20.6	20.625	0.12135922330096396	23.5	23.125000000000007	-1.5957446808510336
ㄨㄢˋ	16.9	16.875	-0.14792899408283183	19.4	19.375	-0.12886597938143599
ㄨㄢ˙	13.6	11.999999999999991	-11.764705882353004	15.5	14.275000000000007	-7.903225806451565
ㄨㄣˇ	20.6	18.812499999999993	-8.677184466019458	22.8	22.88750000000001	0.3837719298246019
ㄨㄣˉ	16.2	15.687500000000002	-3.163580246913565	19.5	19.637499999999992	0.7051282051281651
ㄨㄣˊ	21.2	20.96874999999999	-1.0908018867924998	23.7	23.443749999999994	-1.081223628692004
ㄨㄣˋ	19.5	18.81249999999998	-3.5256410256411352	22.4	21.875000000000007	-2.3437499999999623
ㄨㄣ˙	18.1	18.125000000000004	0.13812154696133774	18.1	18.125000000000004	0.13812154696133774
ㄨㄤˇ	20.0	18.374999999999996	-8.125000000000018	23.4	21.250000000000004	-9.188034188034168
ㄨㄤˉ	16.2	15.625	-3.5493827160493785	17.5	17.500000000000004	2.030122102171715e-14
ㄨㄤˊ	21.2	19.375	-8.608490566037732	23.7	22.500000000000007	-5.063291139240474
ㄨㄤˋ	19.4	19.374999999999996	-0.12886597938145428	20.8	20.96875000000001	0.8112980769231247
ㄨㄤ˙	16.2	16.25	0.3086419753086464	16.2	16.25	0.3086419753086464
ㄨㄥˇ	16.4	11.437500000000014	-30.25914634146332	19.7	17.499999999999996	-11.167512690355345
ㄨㄥˉ	15.0	15.0	0.0	16.9	16.250000000000014	-3.846153846153754
ㄨㄥˊ	16.5	14.999999999999988	-9.090909090909166	18.8	18.387499999999978	-2.1941489361703335
ㄨㄥˋ	15.8	15.625	-1.1075949367088653	16.9	16.875	-0.14792899408283183
ㄨㄥ˙	12.8	12.812500000000005	0.09765625000003608	13.1	13.062500000000002	-0.28625954198471654
ㄩˇ	20.0	16.249999999999993	-18.750000000000036	23.1	22.32500000000004	-3.354978354978195
ㄩˉ	14.4	13.999999999999977	-2.7777777777779407	15.6	15.624999999999993	0.160256410256367
ㄩˊ	17.4	16.875	-3.017241379310337	22.5	22.518749999999944	0.08333333333308385
ㄩˋ	13.8	13.749999999999998	-0.36231884057972813	17.5	17.499999999999982	-1.0150610510858573e-13
ㄩ˙	13.8	13.750000000000012	-0.3623188405796252	14.2	13.750000000000012	-3.16901408450695
ㄩㄝˇ	16.7	13.874999999999991	-16.91616766467071	19.0	19.006249999999994	0.03289473684207534
ㄩㄝˉ	17.2	16.250000000000007	-5.523255813953443	20.0	18.33125	-8.343749999999996
ㄩㄝˊ	16.2	13.750000000000012	-15.123456790123377	17.5	17.500000000000004	2.030122102171715e-14
ㄩㄝˋ	17.5	16.250000000000007	-7.142857142857102	20.0	20.000000000000004	1.7763568394002505e-14
ㄩㄢˇ	22.9	21.249999999999996	-7.2052401746724986	26.0	24.699999999999974	-5.000000000000098
ㄩㄢˉ	19.0	18.499999999999993	-2.6315789473684585	20.3	20.325000000000003	0.1231527093596164
ㄩㄢˊ	23.1	20.625000000000007	-10.714285714285689	25.6	24.375	-4.785156250000005
ㄩㄢˋ	20.6	19.375000000000004	-5.946601941747562	23.1	21.943750000000016	-5.005411255411193
ㄩㄢ˙	18.8	18.750000000000004	-0.2659574468084955	19.8	19.750000000000007	-0.25252525252522023
ㄩㄣˇ	19.6	10.468750000000048	-46.58801020408139	20.4	10.59375000000005	-48.06985294117622
ㄩㄣˉ	17.0	17.249999999999996	1.4705882352940969	19.8	19.862500000000015	0.3156565656566374
ㄩㄣˊ	23.1	20.625	-10.714285714285719	24.9	24.999999999999993	0.40160642570278837
ㄩㄣˋ	21.3	21.250000000000004	-0.23474178403754534	24.1	23.862500000000004	-0.9854771784232247
ㄩㄥˇ	22.7	19.624999999999982	-13.546255506608004	25.8	25.79375	-0.024224806201555895
ㄩㄥˉ	15.6	15.624999999999991	0.16025641025635562	18.3	17.300000000000008	-5.464480874316901
ㄩㄥˊ	17.8	18.125	1.8258426966292092	21.9	22.006250000000005	0.4851598173516274
ㄩㄥˋ	18.8	16.59374999999998	-11.735372340425648	21.3	21.25	-0.23474178403756202
ㄩㄥ˙	12.4	12.375000000000009	-0.20161290322573766	12.5	12.47500000000001	-0.19999999999991755
