token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄕˊ	rhyme_tone	ʂ ʐ̩˥˩	882	13.85	5.33	6.9	8.1	11.9	25.0	26.4	5.6	29.4	6.9	39.6
ㄕˋ	rhyme_tone	ʂ ʐ̩˥˩	2210	11.53	4.98	6.3	6.9	9.4	23.1	25.0	4.4	28.1	6.3	37.5
ㄕ˙	rhyme_tone	ʂ ʐ̩˥˩	40	11.42	4.81	6.5	7.5	9.1	20.7	22.0	6.2	22.5	6.5	33.0
ㄖˋ	rhyme_tone	ʐ̩˥˩	112	9.88	4.27	1.9	1.9	10.0	16.5	18.7	1.9	22.5	1.9	28.0
ㄗˇ	rhyme_tone	ts z̩˨˩˦	137	11.82	4.16	5.6	6.3	10.6	19.4	23.5	5.6	23.8	5.6	35.3
ㄗˉ	rhyme_tone	ts z̩˨˩˦	33	12.78	3.37	7.1	8.2	13.1	19.9	21.0	6.9	21.2	7.1	31.6
ㄗˊ	rhyme_tone	ts z̩˨˩˦	36	11.42	4.12	6.3	7.2	10.0	20.3	24.1	6.3	25.6	6.3	36.1
ㄗˋ	rhyme_tone	ts z̩˨˩˦	298	10.47	2.51	5.0	7.5	10.0	14.4	20.0	5.0	24.4	5.0	30.1
ㄗ˙	rhyme_tone	ts z̩˨˩˦	701	11.53	4.17	5.6	6.9	10.6	18.8	21.2	3.7	28.7	5.6	31.9
ㄘˇ	rhyme_tone	tsʰ z̩˧˥	109	14.47	5.36	7.0	8.8	12.5	25.0	25.6	6.9	26.9	7.0	38.4
ㄘˉ	rhyme_tone	tsʰ z̩˧˥	1	13.12	0.00	13.1	13.1	13.1	13.1	13.1	13.1	13.1		
ㄘˊ	rhyme_tone	tsʰ z̩˧˥	68	15.22	5.44	7.5	8.7	13.4	26.0	27.5	7.5	27.5	7.5	41.2
ㄘˋ	rhyme_tone	tsʰ z̩˧˥	176	13.77	4.76	7.5	8.1	12.2	23.1	25.6	5.6	26.9	7.5	38.4
ㄙˇ	rhyme_tone	s z̩˥˩	105	15.54	4.98	9.4	10.0	14.4	26.2	26.3	8.7	26.9	9.4	39.4
ㄙˉ	rhyme_tone	s z̩˥˩	248	13.80	4.09	8.4	9.4	12.5	22.5	24.4	7.5	25.6	8.4	36.6
ㄙˊ	rhyme_tone	s z̩˥˩	33	14.07	4.78	8.5	9.4	13.1	24.6	28.1	8.1	28.8	8.5	42.2
ㄙˋ	rhyme_tone	s z̩˥˩	177	12.80	2.74	8.7	9.4	12.5	17.5	22.7	6.9	23.7	8.7	34.0
ㄙ˙	rhyme_tone	s z̩˥˩	14	14.64	4.58	9.0	10.0	11.9	21.9	22.9	8.8	23.1		
ㄚˇ	rhyme_tone	ʔ a˥˩	897	6.84	2.72	1.9	3.8	6.3	13.1	16.9	1.9	20.0	1.9	25.3
ㄚˉ	rhyme_tone	ʔ a˥˩	3153	5.30	2.86	1.9	2.5	4.4	11.9	14.4	1.9	18.8	1.9	21.6
ㄚˊ	rhyme_tone	ʔ a˥˩	667	7.64	3.13	2.3	3.8	6.9	15.6	17.5	1.9	18.8	2.3	26.3
ㄚˋ	rhyme_tone	ʔ a˥˩	1469	6.63	2.47	1.9	3.1	6.3	11.9	15.6	1.9	16.9	1.9	23.4
ㄚ˙	rhyme_tone	ʔ a˥˩	953	11.26	4.08	1.9	3.8	11.3	17.7	21.6	1.9	25.0	1.9	32.3
ㄛˇ	rhyme_tone	o˧˥	7	3.84	0.62	3.1	3.1	3.8	4.8	5.0	3.1	5.0		
ㄛˉ	rhyme_tone	o˧˥	129	5.22	3.90	1.9	1.9	4.4	15.1	21.1	1.9	23.1	1.9	31.6
ㄛˊ	rhyme_tone	o˧˥	199	4.81	2.05	1.9	2.5	4.4	10.0	11.9	1.9	12.5	1.9	17.8
ㄛˋ	rhyme_tone	o˧˥	144	4.04	1.85	1.9	1.9	3.8	8.0	9.1	1.9	13.8	1.9	14.0
ㄛ˙	rhyme_tone	o˧˥	135	13.29	6.39	1.9	2.5	13.8	23.1	27.1	0.6	30.0	1.9	40.6
ㄜˇ	rhyme_tone	ʔ o˧˥	443	4.71	2.97	1.9	1.9	3.8	12.4	16.2	1.9	18.7	1.9	24.4
ㄜˉ	rhyme_tone	ʔ o˧˥	407	6.71	3.43	1.9	2.5	5.6	13.7	15.6	0.6	16.9	1.9	23.4
ㄜˊ	rhyme_tone	ʔ o˧˥	1241	5.15	3.81	1.9	1.9	3.8	14.4	16.9	1.9	21.9	1.9	25.3
ㄜˋ	rhyme_tone	ʔ o˧˥	1074	6.26	3.41	1.9	2.5	5.0	13.7	18.1	1.9	26.2	1.9	27.2
ㄜ˙	rhyme_tone	ʔ o˧˥	6866	4.86	3.15	1.9	1.9	3.7	11.3	13.1	0.6	25.6	1.9	19.7
ㄞˇ	rhyme_tone	ʔ aj˥˩	403	7.49	3.42	3.1	4.4	6.3	16.2	18.8	2.5	28.1	3.1	28.1
ㄞˉ	rhyme_tone	ʔ aj˥˩	645	6.99	3.05	3.1	3.8	6.2	13.7	15.6	1.9	20.6	3.1	23.4
ㄞˊ	rhyme_tone	ʔ aj˥˩	1956	7.31	3.97	1.9	2.5	6.2	15.6	17.5	1.9	21.3	1.9	26.3
ㄞˋ	rhyme_tone	ʔ aj˥˩	2234	6.91	3.64	1.9	3.1	5.6	15.0	20.0	0.6	24.4	1.9	30.0
ㄞ˙	rhyme_tone	ʔ aj˥˩	177	10.03	4.44	2.4	3.8	9.4	16.4	17.5	1.9	18.1	2.4	26.2
ㄟˇ	rhyme_tone	ʔ ej˥	410	6.72	3.06	3.1	3.7	6.2	12.8	20.0	1.9	20.6	3.1	30.0
ㄟˉ	rhyme_tone	ʔ ej˥	419	6.13	2.94	1.9	3.1	5.6	13.1	16.8	1.9	20.0	1.9	25.1
ㄟˊ	rhyme_tone	ʔ ej˥	860	5.92	2.81	1.9	2.5	5.6	10.6	16.5	1.9	20.6	1.9	24.8
ㄟˋ	rhyme_tone	ʔ ej˥	627	7.24	3.53	2.5	3.7	6.2	15.0	16.9	1.9	20.6	2.5	25.3
ㄟ˙	rhyme_tone	ʔ ej˥	31	9.38	5.11	3.9	4.4	6.9	20.3	22.5	3.8	22.5	3.9	33.8
ㄠˇ	rhyme_tone	ʔ aw˥˩	1517	7.71	3.62	2.5	3.8	6.9	16.3	18.7	1.9	20.0	2.5	28.1
ㄠˉ	rhyme_tone	ʔ aw˥˩	598	7.68	2.86	1.9	3.7	7.5	13.8	15.6	1.9	17.5	1.9	23.4
ㄠˊ	rhyme_tone	ʔ aw˥˩	780	8.40	3.96	2.5	3.7	7.5	16.9	18.8	1.9	27.5	2.5	28.1
ㄠˋ	rhyme_tone	ʔ aw˥˩	1668	7.61	3.23	1.9	3.8	6.9	14.4	16.2	1.9	26.2	1.9	24.4
ㄠ˙	rhyme_tone	ʔ aw˥˩	48	8.19	3.30	3.4	4.4	7.2	13.9	15.3	2.5	15.6	3.4	23.0
ㄡˇ	rhyme_tone	ʔ ow˥	662	8.24	4.02	1.9	3.8	6.9	16.9	18.8	0.6	20.6	1.9	28.1
ㄡˉ	rhyme_tone	ʔ ow˥	690	5.65	2.45	2.5	3.1	5.0	10.3	14.4	1.9	21.9	2.5	21.7
ㄡˊ	rhyme_tone	ʔ ow˥	623	7.63	3.63	1.9	3.8	6.9	15.6	16.9	1.9	18.8	1.9	25.3
ㄡˋ	rhyme_tone	ʔ ow˥	899	7.69	3.70	1.9	3.1	6.3	13.8	15.0	1.9	16.9	1.9	22.5
ㄡ˙	rhyme_tone	ʔ ow˥	87	7.49	3.33	1.9	2.7	6.9	13.1	14.0	1.9	15.6	1.9	21.0
ㄢˇ	rhyme_tone	ʔ a˥ n	615	9.47	3.07	5.0	6.2	8.8	16.4	18.7	3.8	20.0	5.0	28.1
ㄢˉ	rhyme_tone	ʔ a˥ n	1022	10.01	3.35	5.0	6.2	8.8	16.3	19.4	4.4	25.0	5.0	29.1
ㄢˊ	rhyme_tone	ʔ a˥ n	1005	9.33	3.00	3.8	5.6	8.8	16.2	18.1	3.7	20.6	3.8	27.2
ㄢˋ	rhyme_tone	ʔ a˥ n	1594	9.20	3.67	4.4	5.0	8.1	16.2	20.6	3.7	27.5	4.4	30.9
ㄢ˙	rhyme_tone	ʔ a˥ n	71	10.04	4.42	5.0	5.6	8.1	16.2	24.4	5.0	33.1	5.0	36.6
ㄣˇ	rhyme_tone	ʔ ə˥ n	569	6.93	2.96	3.1	3.7	6.3	11.3	20.2	3.1	21.9	3.1	30.3
ㄣˉ	rhyme_tone	ʔ ə˥ n	968	7.97	2.56	3.8	5.0	7.5	13.1	16.2	3.1	23.7	3.8	24.4
ㄣˊ	rhyme_tone	ʔ ə˥ n	1527	8.55	3.70	3.7	3.8	7.5	16.3	18.1	3.1	24.4	3.7	27.2
ㄣˋ	rhyme_tone	ʔ ə˥ n	379	8.40	3.02	3.8	5.0	7.5	14.4	17.6	3.7	27.5	3.8	26.5
ㄣ˙	rhyme_tone	ʔ ə˥ n	902	6.56	2.79	3.7	3.8	5.6	12.5	15.6	3.7	18.1	3.7	23.4
ㄤˇ	rhyme_tone	ʔ a˧˥ ŋ	307	10.32	3.49	5.6	6.3	9.4	17.5	18.7	4.4	20.0	5.6	28.1
ㄤˉ	rhyme_tone	ʔ a˧˥ ŋ	887	8.76	2.54	5.0	5.6	8.1	14.2	16.2	3.8	17.5	5.0	24.4
ㄤˊ	rhyme_tone	ʔ a˧˥ ŋ	829	9.62	3.18	5.0	6.2	8.7	16.2	18.1	4.4	21.9	5.0	27.2
ㄤˋ	rhyme_tone	ʔ a˧˥ ŋ	1334	9.14	2.96	4.4	5.6	8.1	15.0	16.9	3.8	19.4	4.4	25.3
ㄤ˙	rhyme_tone	ʔ a˧˥ ŋ	94	8.75	2.65	5.0	5.0	7.5	13.8	14.5	4.4	15.6	5.0	21.7
ㄥˇ	rhyme_tone	o˥˩ ŋ	248	8.43	2.92	4.4	5.2	7.5	14.8	18.1	3.7	18.8	4.4	27.2
ㄥˉ	rhyme_tone	o˥˩ ŋ	870	8.81	3.05	4.4	5.0	8.1	15.0	16.3	3.8	18.1	4.4	24.4
ㄥˊ	rhyme_tone	o˥˩ ŋ	987	8.06	3.09	3.8	5.0	6.9	15.6	18.1	3.7	21.3	3.8	27.2
ㄥˋ	rhyme_tone	o˥˩ ŋ	523	7.80	2.69	3.8	4.4	7.5	13.8	16.9	3.7	22.5	3.8	25.3
ㄥ˙	rhyme_tone	o˥˩ ŋ	63	10.30	3.72	4.1	5.1	10.0	14.9	19.0	3.8	22.5	4.1	28.5
ㄦˇ	rhyme_tone	o˥˩ ɻ	194	8.31	3.36	3.8	4.4	7.5	15.6	18.8	3.7	23.8	3.8	28.2
ㄦˊ	rhyme_tone	o˥˩ ɻ	621	8.09	2.87	1.9	3.7	8.1	13.1	15.6	0.6	21.3	1.9	23.4
ㄦˋ	rhyme_tone	o˥˩ ɻ	212	11.41	3.87	3.7	5.6	11.2	19.0	22.9	1.9	25.0	3.7	34.4
ㄧˇ	rhyme_tone	i˥	3067	6.61	4.24	1.9	2.5	5.6	16.2	21.2	1.9	27.5	1.9	31.9
ㄧˉ	rhyme_tone	i˥	1259	7.22	4.34	1.9	2.5	5.6	15.0	22.1	1.9	27.5	1.9	33.2
ㄧˊ	rhyme_tone	i˥	2834	6.98	3.69	1.9	2.5	6.3	15.6	19.4	1.9	26.3	1.9	29.1
ㄧˋ	rhyme_tone	i˥	3482	7.45	3.75	1.9	3.1	6.9	15.0	20.1	1.9	32.5	1.9	30.2
ㄧ˙	rhyme_tone	i˥	175	8.03	3.86	2.3	3.1	7.5	13.9	15.8	1.9	16.3	2.3	23.7
ㄧㄚˇ	rhyme_tone	j a˥	87	9.93	4.34	4.3	5.6	8.8	20.0	23.1	3.8	23.1	4.3	34.7
ㄧㄚˉ	rhyme_tone	j a˥	565	8.95	3.69	3.5	5.0	7.5	15.6	20.0	1.9	25.6	3.5	30.0
ㄧㄚˊ	rhyme_tone	j a˥	172	12.41	4.34	4.5	6.9	11.9	21.2	23.3	1.9	23.8	4.5	35.0
ㄧㄚˋ	rhyme_tone	j a˥	715	8.28	3.41	3.1	4.4	7.5	15.0	17.5	1.9	20.0	3.1	26.3
ㄧㄚ˙	rhyme_tone	j a˥	241	16.01	3.68	4.0	9.4	16.9	20.6	21.6	3.8	23.1	4.0	32.4
ㄧㄛˉ	rhyme_tone	j o˥	5	15.62	7.38	2.9	4.6	18.1	22.7	23.0	2.5	23.1		
ㄧㄛ˙	rhyme_tone	j o˥	12	18.59	1.88	16.2	16.2	18.4	21.5	22.3	16.2	22.5		
ㄧㄝˇ	rhyme_tone	j e˨˩˦	808	8.28	2.81	3.7	4.4	8.1	13.1	16.8	1.9	22.5	3.7	25.2
ㄧㄝˉ	rhyme_tone	j e˨˩˦	525	6.71	3.01	2.5	3.7	5.6	13.7	16.2	1.9	19.4	2.5	24.4
ㄧㄝˊ	rhyme_tone	j e˨˩˦	716	8.46	3.18	3.8	4.4	7.5	15.6	18.1	3.1	21.3	3.8	27.2
ㄧㄝˋ	rhyme_tone	j e˨˩˦	572	10.45	4.63	3.6	4.4	9.4	20.0	23.1	1.9	26.9	3.6	34.7
ㄧㄝ˙	rhyme_tone	j e˨˩˦	83	10.38	4.83	3.1	3.7	10.0	18.7	21.4	3.1	25.0	3.1	32.1
ㄧㄠˇ	rhyme_tone	j aw˨˩˦	892	8.46	3.83	3.7	5.0	7.5	17.5	21.3	2.5	26.2	3.7	31.9
ㄧㄠˉ	rhyme_tone	j aw˨˩˦	365	9.21	3.82	3.1	5.0	8.1	16.9	21.5	1.9	27.5	3.1	32.2
ㄧㄠˊ	rhyme_tone	j aw˨˩˦	651	9.81	3.95	3.8	5.0	9.4	17.5	23.1	2.5	25.6	3.8	34.7
ㄧㄠˋ	rhyme_tone	j aw˨˩˦	1515	9.59	3.12	3.2	5.0	9.4	15.6	19.4	1.9	26.9	3.2	29.1
ㄧㄠ˙	rhyme_tone	j aw˨˩˦	18	6.08	1.95	2.2	3.5	5.6	9.1	10.8	1.9	11.2		
ㄧㄡˇ	rhyme_tone	j ow˥˩	1366	9.30	2.98	3.8	5.6	8.8	15.6	20.2	2.5	26.9	3.8	30.3
ㄧㄡˉ	rhyme_tone	j ow˥˩	256	8.66	3.86	3.1	3.8	7.5	15.6	19.9	1.9	25.0	3.1	29.9
ㄧㄡˊ	rhyme_tone	j ow˥˩	1006	9.69	3.72	3.8	5.0	8.8	17.5	21.9	1.9	26.3	3.8	32.8
ㄧㄡˋ	rhyme_tone	j ow˥˩	1336	6.37	3.70	1.9	1.9	5.6	13.1	15.4	1.9	21.9	1.9	23.1
ㄧㄡ˙	rhyme_tone	j ow˥˩	34	9.61	3.73	4.0	4.4	9.1	16.1	17.7	3.8	18.1	4.0	26.6
ㄧㄢˇ	rhyme_tone	j e˥ n	799	11.57	4.51	5.6	5.6	10.6	20.0	23.8	2.5	28.1	5.6	35.6
ㄧㄢˉ	rhyme_tone	j e˥ n	1334	10.35	3.55	5.6	6.2	9.4	16.9	21.0	3.7	23.8	5.6	31.6
ㄧㄢˊ	rhyme_tone	j e˥ n	1135	11.88	4.17	5.6	6.9	10.6	19.4	24.4	3.7	27.5	5.6	36.6
ㄧㄢˋ	rhyme_tone	j e˥ n	1490	10.35	3.77	5.0	6.2	9.4	18.1	22.5	3.8	26.9	5.0	33.7
ㄧㄢ˙	rhyme_tone	j e˥ n	12	10.00	3.25	6.9	6.9	8.7	16.5	17.3	6.9	17.5		
ㄧㄣˇ	rhyme_tone	i˥ n	203	10.15	3.96	4.4	5.6	9.4	17.4	21.2	3.7	25.6	4.4	31.8
ㄧㄣˉ	rhyme_tone	i˥ n	1078	9.83	4.05	4.4	5.0	8.8	16.9	21.4	3.7	32.5	4.4	32.1
ㄧㄣˊ	rhyme_tone	i˥ n	456	10.52	4.30	4.4	5.0	9.4	18.7	24.0	3.8	25.0	4.4	36.0
ㄧㄣˋ	rhyme_tone	i˥ n	415	8.78	3.50	3.8	5.0	7.5	15.6	17.4	3.7	21.9	3.8	26.1
ㄧㄣ˙	rhyme_tone	i˥ n	22	7.93	3.04	4.4	4.4	6.9	12.5	15.5	4.4	16.2	4.4	23.2
ㄧㄤˇ	rhyme_tone	j a˧˥ ŋ	632	10.14	3.63	5.0	6.2	8.8	17.5	22.1	3.8	23.7	5.0	33.2
ㄧㄤˉ	rhyme_tone	j a˧˥ ŋ	332	9.08	2.88	5.0	5.6	8.1	15.0	18.4	4.4	21.9	5.0	27.5
ㄧㄤˊ	rhyme_tone	j a˧˥ ŋ	625	12.40	4.00	5.8	6.9	11.9	19.4	21.9	3.8	26.3	5.8	32.8
ㄧㄤˋ	rhyme_tone	j a˧˥ ŋ	977	11.02	4.18	5.0	5.6	10.0	18.8	20.6	4.4	23.7	5.0	30.9
ㄧㄤ˙	rhyme_tone	j a˧˥ ŋ	59	12.72	4.30	6.3	7.5	11.9	20.1	26.3	5.6	32.5	6.3	39.5
ㄧㄥˇ	rhyme_tone	i˥ ŋ	368	9.70	4.37	4.4	5.0	8.4	19.4	22.7	3.7	24.4	4.4	34.1
ㄧㄥˉ	rhyme_tone	i˥ ŋ	1178	8.52	3.46	3.8	4.4	7.5	15.6	19.4	3.7	23.7	3.8	29.1
ㄧㄥˊ	rhyme_tone	i˥ ŋ	1061	9.92	3.99	4.4	5.0	8.8	18.1	20.9	3.7	26.2	4.4	31.3
ㄧㄥˋ	rhyme_tone	i˥ ŋ	836	9.32	3.45	4.4	5.6	8.1	15.6	18.7	3.7	25.6	4.4	28.1
ㄧㄥ˙	rhyme_tone	i˥ ŋ	76	10.14	3.31	4.2	5.5	9.4	15.6	17.5	3.7	17.5	4.2	26.3
ㄨˇ	rhyme_tone	u˨˩˦	1018	7.69	4.24	1.9	3.1	6.3	16.9	21.3	1.9	26.2	1.9	31.9
ㄨˉ	rhyme_tone	u˨˩˦	1293	5.85	3.54	1.9	1.9	5.0	13.1	15.7	1.9	38.7	1.9	23.5
ㄨˊ	rhyme_tone	u˨˩˦	2122	5.63	3.43	1.9	1.9	5.0	12.5	16.9	1.9	30.0	1.9	25.3
ㄨˋ	rhyme_tone	u˨˩˦	2765	5.95	3.59	1.9	1.9	5.0	13.7	17.5	1.9	25.0	1.9	26.3
ㄨ˙	rhyme_tone	u˨˩˦	144	5.33	3.56	1.9	1.9	3.8	12.5	14.8	1.9	16.2	1.9	22.2
ㄨㄚˇ	rhyme_tone	w a˥	45	12.01	3.34	6.2	6.9	11.3	18.6	19.1	5.6	19.4	6.2	28.6
ㄨㄚˉ	rhyme_tone	w a˥	478	8.57	3.48	1.9	3.8	8.1	15.6	17.8	1.9	22.5	1.9	26.7
ㄨㄚˊ	rhyme_tone	w a˥	110	9.87	4.35	3.7	4.4	8.8	16.6	18.1	3.1	19.4	3.7	27.2
ㄨㄚˋ	rhyme_tone	w a˥	284	8.99	3.75	1.9	4.4	8.1	15.0	16.4	1.9	18.7	1.9	24.5
ㄨㄚ˙	rhyme_tone	w a˥	60	14.89	5.36	5.4	7.5	15.3	24.4	26.4	5.0	27.5	5.4	39.6
ㄨㄛˇ	rhyme_tone	ʔ w o	2542	7.34	3.05	3.1	4.4	6.9	12.5	20.6	1.3	27.5	3.1	30.9
ㄨㄛˉ	rhyme_tone	ʔ w o	1093	9.08	3.72	3.8	4.4	8.1	15.6	17.5	1.9	23.1	3.8	26.3
ㄨㄛˊ	rhyme_tone	ʔ w o	1207	7.26	3.40	3.1	3.8	6.3	15.0	21.3	1.2	27.5	3.1	31.9
ㄨㄛˋ	rhyme_tone	ʔ w o	1221	7.65	3.60	2.5	3.8	6.3	15.6	17.5	1.9	18.8	2.5	26.2
ㄨㄛ˙	rhyme_tone	ʔ w o	48	8.09	3.40	2.2	3.3	7.8	13.5	14.1	1.9	14.4	2.2	21.1
ㄨㄞˇ	rhyme_tone	w aj˥˩	21	8.99	2.78	6.2	6.3	8.1	13.7	16.8	6.2	17.5	6.2	25.1
ㄨㄞˉ	rhyme_tone	w aj˥˩	54	9.86	3.50	4.7	5.6	9.4	15.8	17.5	4.4	17.5	4.7	26.3
ㄨㄞˊ	rhyme_tone	w aj˥˩	42	7.44	2.42	4.4	5.6	6.9	9.4	16.3	4.4	20.6	4.4	24.4
ㄨㄞˋ	rhyme_tone	w aj˥˩	577	10.41	3.91	4.2	5.6	10.0	18.1	21.4	1.9	23.7	4.2	32.1
ㄨㄞ˙	rhyme_tone	w aj˥˩	8	9.61	3.19	5.2	5.9	8.1	13.8	13.8	5.0	13.8		
ㄨㄟˇ	rhyme_tone	w ej˧˥	449	10.45	4.86	4.4	5.0	8.7	20.0	22.2	1.9	26.9	4.4	33.3
ㄨㄟˉ	rhyme_tone	w ej˧˥	508	8.72	3.83	3.1	4.4	7.5	15.6	18.1	2.5	24.4	3.1	27.2
ㄨㄟˊ	rhyme_tone	w ej˧˥	850	9.39	4.05	3.1	3.8	8.8	17.2	21.9	1.9	23.7	3.1	32.8
ㄨㄟˋ	rhyme_tone	w ej˧˥	1744	8.62	4.39	1.9	3.1	7.5	16.9	20.6	1.9	25.0	1.9	30.9
ㄨㄟ˙	rhyme_tone	w ej˧˥	65	3.98	3.16	1.9	1.9	3.1	6.9	16.4	1.9	21.2	1.9	24.7
ㄨㄢˇ	rhyme_tone	w a˥˩ n	391	12.70	3.70	6.9	8.1	11.9	20.0	23.7	5.6	28.1	6.9	35.6
ㄨㄢˉ	rhyme_tone	w a˥˩ n	471	10.78	3.24	5.6	6.9	10.0	16.9	18.8	3.8	23.1	5.6	28.1
ㄨㄢˊ	rhyme_tone	w a˥˩ n	545	13.05	4.10	6.3	7.0	12.5	20.6	23.5	5.0	25.0	6.3	35.2
ㄨㄢˋ	rhyme_tone	w a˥˩ n	449	10.90	3.35	5.6	6.3	10.0	16.9	19.4	3.7	23.1	5.6	29.1
ㄨㄢ˙	rhyme_tone	w a˥˩ n	125	7.86	2.72	3.9	5.0	6.9	13.6	15.5	3.7	16.3	3.9	23.2
ㄨㄣˇ	rhyme_tone	w ə˥˩ n	149	11.01	4.48	5.0	5.6	10.0	20.6	22.8	5.0	23.1	5.0	34.2
ㄨㄣˉ	rhyme_tone	w ə˥˩ n	277	9.67	3.53	4.4	5.6	8.7	16.2	19.5	3.8	20.6	4.4	29.3
ㄨㄣˊ	rhyme_tone	w ə˥˩ n	263	12.00	4.54	5.4	6.3	10.6	21.2	23.7	4.4	26.9	5.4	35.6
ㄨㄣˋ	rhyme_tone	w ə˥˩ n	417	12.04	3.95	5.6	6.3	11.3	19.5	22.4	5.6	25.6	5.6	33.6
ㄨㄣ˙	rhyme_tone	w ə˥˩ n	1	18.13	0.00	18.1	18.1	18.1	18.1	18.1	18.1	18.1		
ㄨㄤˇ	rhyme_tone	w a˥˩ ŋ	250	12.62	3.30	8.1	8.7	11.9	20.0	23.4	6.9	26.9	8.1	35.2
ㄨㄤˉ	rhyme_tone	w a˥˩ ŋ	404	10.62	2.79	5.6	6.9	10.0	16.2	17.5	5.6	18.8	5.6	26.3
ㄨㄤˊ	rhyme_tone	w a˥˩ ŋ	474	13.31	3.95	6.1	7.5	13.1	21.2	23.7	5.0	25.0	6.1	35.6
