token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄔˉ	rhyme_tone	ʈʂʰ ʐ̩˥	202	13.09	4.41	7.5	8.1	11.3	23.1	24.4	6.2	25.0	7.5	36.6
ㄔˊ	rhyme_tone	ʈʂʰ ʐ̩˥	71	12.82	4.49	8.1	8.7	11.9	23.8	25.8	8.1	26.3	8.1	38.7
ㄔˋ	rhyme_tone	ʈʂʰ ʐ̩˥	39	14.65	4.66	8.7	9.3	13.7	23.2	24.1	8.7	24.4	8.7	36.2
ㄕˇ	rhyme_tone	ʂ ʐ̩˥˩	173	12.43	4.49	7.5	8.1	11.2	22.4	27.1	7.5	30.0	7.5	40.6
ㄕˉ	rhyme_tone	ʂ ʐ̩˥˩	201	14.93	4.40	8.1	9.4	13.8	23.7	25.0	8.1	26.9	8.1	37.5
ㄕˊ	rhyme_tone	ʂ ʐ̩˥˩	953	13.81	5.30	6.9	7.9	11.9	25.0	26.6	5.6	29.4	6.9	39.8
ㄕˋ	rhyme_tone	ʂ ʐ̩˥˩	2343	11.53	4.98	6.3	6.9	9.4	23.1	25.0	4.4	28.1	6.3	37.5
ㄕ˙	rhyme_tone	ʂ ʐ̩˥˩	38	11.61	4.86	6.5	6.9	9.4	20.7	22.0	6.2	22.5	6.5	33.1
ㄖˋ	rhyme_tone	ʐ̩˥˩	119	9.55	4.16	1.9	1.9	9.4	16.3	18.6	1.9	22.5	1.9	28.0
ㄗˇ	rhyme_tone	ts z̩˨˩˦	158	12.07	4.38	5.6	6.3	10.6	20.0	24.0	5.6	24.4	5.6	36.0
ㄗˉ	rhyme_tone	ts z̩˨˩˦	39	12.58	3.58	7.1	8.1	12.5	20.7	21.2	6.9	21.2	7.1	31.9
ㄗˊ	rhyme_tone	ts z̩˨˩˦	39	11.44	4.12	6.3	6.8	10.0	20.1	24.0	6.3	25.6	6.3	35.9
ㄗˋ	rhyme_tone	ts z̩˨˩˦	321	10.60	2.64	5.6	7.5	10.0	14.4	21.0	5.0	24.4	5.6	31.5
ㄗ˙	rhyme_tone	ts z̩˨˩˦	804	11.56	4.16	5.6	6.3	10.6	18.7	21.2	3.7	28.7	5.6	31.8
ㄘˇ	rhyme_tone	tsʰ z̩˧˥	119	14.13	5.26	6.9	8.7	12.5	25.0	25.6	6.9	26.9	6.9	38.4
ㄘˉ	rhyme_tone	tsʰ z̩˧˥	2	11.56	1.56	10.0	10.2	11.6	13.0	13.1	10.0	13.1		
ㄘˊ	rhyme_tone	tsʰ z̩˧˥	78	15.06	5.41	7.5	8.7	13.1	25.7	27.5	7.5	27.5	7.5	41.2
ㄘˋ	rhyme_tone	tsʰ z̩˧˥	184	13.74	4.74	8.0	8.2	11.9	23.1	25.7	7.5	26.9	8.0	38.6
ㄙˇ	rhyme_tone	s z̩˥˩	122	15.25	4.71	9.4	10.0	14.1	25.6	26.3	8.7	27.5	9.4	39.4
ㄙˉ	rhyme_tone	s z̩˥˩	261	13.94	4.16	8.5	9.4	12.5	22.5	24.4	7.5	25.6	8.5	36.6
ㄙˊ	rhyme_tone	s z̩˥˩	34	13.90	4.72	8.5	9.4	12.5	24.4	28.1	8.1	28.8	8.5	42.2
ㄙˋ	rhyme_tone	s z̩˥˩	199	12.68	2.86	8.7	9.4	12.5	16.9	23.1	6.9	26.2	8.7	34.7
ㄙ˙	rhyme_tone	s z̩˥˩	15	14.42	4.51	9.0	10.1	11.3	21.8	22.9	8.8	23.1		
ㄚˇ	rhyme_tone	ʔ a˥˩	975	6.83	2.78	1.9	3.8	6.3	13.1	17.5	1.9	20.0	1.9	26.2
ㄚˉ	rhyme_tone	ʔ a˥˩	3432	5.38	2.94	1.9	2.5	4.4	11.9	14.4	1.9	18.8	1.9	21.6
ㄚˊ	rhyme_tone	ʔ a˥˩	758	7.70	3.24	2.5	3.8	6.9	15.6	17.5	1.9	18.8	2.5	26.3
ㄚˋ	rhyme_tone	ʔ a˥˩	1663	6.53	2.50	1.9	3.1	6.3	11.9	15.0	1.9	16.9	1.9	22.5
ㄚ˙	rhyme_tone	ʔ a˥˩	1039	10.97	4.05	1.9	3.8	11.2	17.5	21.0	1.9	25.0	1.9	31.5
ㄛˇ	rhyme_tone	o˧˥	10	4.81	2.20	3.1	3.1	3.8	8.9	10.3	3.1	10.6		
ㄛˉ	rhyme_tone	o˧˥	160	5.01	3.64	1.9	1.9	3.8	14.4	19.5	1.9	23.1	1.9	29.3
ㄛˊ	rhyme_tone	o˧˥	226	4.76	2.06	1.9	2.5	4.4	9.8	11.7	1.9	12.5	1.9	17.6
ㄛˋ	rhyme_tone	o˧˥	166	4.11	1.88	1.9	1.9	3.8	8.0	9.8	1.9	13.8	1.9	14.7
ㄛ˙	rhyme_tone	o˧˥	141	13.04	6.40	1.9	2.5	13.1	23.1	27.0	0.6	30.0	1.9	40.5
ㄜˇ	rhyme_tone	ʔ o˧˥	463	4.78	3.14	1.9	1.9	3.8	13.7	16.9	1.9	18.7	1.9	25.3
ㄜˉ	rhyme_tone	ʔ o˧˥	438	6.79	3.51	1.9	2.5	5.6	13.8	15.6	1.9	16.9	1.9	23.4
ㄜˊ	rhyme_tone	ʔ o˧˥	1452	5.17	3.75	1.9	1.9	3.8	14.4	16.9	0.6	26.9	1.9	25.3
ㄜˋ	rhyme_tone	ʔ o˧˥	1394	5.89	3.30	1.3	1.9	5.0	13.1	16.3	1.2	23.1	1.3	24.4
ㄜ˙	rhyme_tone	ʔ o˧˥	7762	4.89	3.17	1.9	1.9	3.7	11.3	13.1	0.6	25.6	1.9	19.7
ㄞˇ	rhyme_tone	ʔ aj˥˩	429	7.72	3.74	3.1	4.4	6.9	16.9	18.8	2.5	29.4	3.1	28.1
ㄞˉ	rhyme_tone	ʔ aj˥˩	695	7.00	3.07	3.1	3.8	6.2	13.8	15.7	1.9	20.6	3.1	23.5
ㄞˊ	rhyme_tone	ʔ aj˥˩	2162	7.48	4.06	1.9	2.5	6.3	15.6	17.5	1.9	21.3	1.9	26.3
ㄞˋ	rhyme_tone	ʔ aj˥˩	2429	6.85	3.58	2.1	3.1	5.6	14.4	20.0	1.9	24.4	2.1	30.0
ㄞ˙	rhyme_tone	ʔ aj˥˩	207	10.20	4.38	2.5	3.8	10.0	16.7	17.5	1.9	18.1	2.5	26.3
ㄟˇ	rhyme_tone	ʔ ej˥	446	6.74	3.17	2.8	3.7	6.2	13.0	20.0	1.9	21.2	2.8	30.0
ㄟˉ	rhyme_tone	ʔ ej˥	475	6.15	2.95	1.9	3.1	5.6	13.1	16.6	1.9	20.0	1.9	24.9
ㄟˊ	rhyme_tone	ʔ ej˥	907	5.94	2.77	1.9	2.5	5.6	10.6	16.2	1.9	20.6	1.9	24.4
ㄟˋ	rhyme_tone	ʔ ej˥	684	7.26	3.54	3.1	3.7	6.2	15.0	16.9	1.9	20.6	3.1	25.3
ㄟ˙	rhyme_tone	ʔ ej˥	33	9.11	5.05	3.9	4.4	6.9	19.9	22.5	3.8	22.5	3.9	33.8
ㄠˇ	rhyme_tone	ʔ aw˥˩	1650	7.81	3.70	2.5	3.8	6.9	16.9	18.7	1.9	20.0	2.5	28.1
ㄠˉ	rhyme_tone	ʔ aw˥˩	650	7.71	2.87	1.9	3.7	7.5	13.8	15.9	1.9	17.5	1.9	23.9
ㄠˊ	rhyme_tone	ʔ aw˥˩	879	8.34	3.93	2.5	3.8	7.5	16.3	18.9	1.9	27.5	2.5	28.3
ㄠˋ	rhyme_tone	ʔ aw˥˩	1844	7.69	3.30	1.9	3.8	6.9	14.4	16.2	1.9	26.2	1.9	24.4
ㄠ˙	rhyme_tone	ʔ aw˥˩	52	8.10	3.23	3.5	4.4	7.2	13.7	15.3	2.5	15.6	3.5	23.0
ㄡˇ	rhyme_tone	ʔ ow˥	722	8.35	4.08	1.9	3.8	6.9	16.9	18.8	0.6	20.0	1.9	28.1
ㄡˉ	rhyme_tone	ʔ ow˥	763	5.69	2.44	2.5	3.1	5.0	10.6	14.4	1.9	21.9	2.5	21.6
ㄡˊ	rhyme_tone	ʔ ow˥	698	7.71	3.66	2.5	3.8	6.9	15.6	16.9	1.9	18.8	2.5	25.3
ㄡˋ	rhyme_tone	ʔ ow˥	1003	7.61	3.70	1.9	3.1	6.3	13.8	15.0	1.9	16.9	1.9	22.5
ㄡ˙	rhyme_tone	ʔ ow˥	100	7.52	3.34	1.9	2.5	6.9	13.1	14.4	1.9	15.6	1.9	21.6
ㄢˇ	rhyme_tone	ʔ a˥ n	689	9.55	3.11	5.0	6.2	8.8	16.9	18.7	3.8	20.0	5.0	28.1
ㄢˉ	rhyme_tone	ʔ a˥ n	1143	9.99	3.32	5.0	6.2	8.8	16.2	19.7	4.4	25.0	5.0	29.6
ㄢˊ	rhyme_tone	ʔ a˥ n	1080	9.36	2.99	3.8	5.6	8.8	16.2	18.7	3.7	20.6	3.8	28.1
ㄢˋ	rhyme_tone	ʔ a˥ n	1712	9.23	3.70	4.4	5.0	8.1	16.2	20.6	3.7	27.5	4.4	30.9
ㄢ˙	rhyme_tone	ʔ a˥ n	70	10.03	4.41	5.0	5.6	8.1	15.6	24.5	5.0	33.1	5.0	36.8
ㄣˇ	rhyme_tone	ʔ ə˥ n	596	6.92	2.95	3.1	3.8	6.3	11.7	20.0	3.1	21.9	3.1	30.0
ㄣˉ	rhyme_tone	ʔ ə˥ n	1069	8.02	2.62	3.8	5.0	7.5	13.7	16.2	3.7	23.7	3.8	24.4
ㄣˊ	rhyme_tone	ʔ ə˥ n	1651	8.61	3.69	3.7	3.8	7.5	16.2	18.1	3.1	24.4	3.7	27.2
ㄣˋ	rhyme_tone	ʔ ə˥ n	415	8.53	3.07	3.8	5.0	7.5	14.4	17.3	3.7	27.5	3.8	26.0
ㄣ˙	rhyme_tone	ʔ ə˥ n	889	6.66	2.85	3.7	3.8	5.6	12.5	15.6	2.5	18.1	3.7	23.4
ㄤˇ	rhyme_tone	ʔ a˧˥ ŋ	402	10.55	3.52	5.6	6.3	9.4	17.5	18.7	4.4	20.0	5.6	28.1
ㄤˉ	rhyme_tone	ʔ a˧˥ ŋ	947	8.78	2.56	5.0	5.6	8.1	14.4	16.2	3.8	18.1	5.0	24.4
ㄤˊ	rhyme_tone	ʔ a˧˥ ŋ	918	9.69	3.20	5.0	6.2	8.8	16.2	18.1	4.4	21.9	5.0	27.2
ㄤˋ	rhyme_tone	ʔ a˧˥ ŋ	1485	9.22	2.95	4.4	5.6	8.1	15.0	16.9	3.8	19.4	4.4	25.3
ㄤ˙	rhyme_tone	ʔ a˧˥ ŋ	106	8.83	2.71	5.0	5.2	8.1	13.8	15.6	4.4	16.3	5.0	23.3
ㄥˇ	rhyme_tone	o˥˩ ŋ	271	8.53	2.97	4.4	5.3	8.1	15.3	18.1	3.7	19.4	4.4	27.2
ㄥˉ	rhyme_tone	o˥˩ ŋ	970	8.85	3.10	4.4	5.0	8.1	15.0	16.9	3.8	22.5	4.4	25.3
ㄥˊ	rhyme_tone	o˥˩ ŋ	1086	8.08	3.11	3.8	5.0	7.5	15.6	18.1	3.7	21.3	3.8	27.2
ㄥˋ	rhyme_tone	o˥˩ ŋ	545	7.80	2.72	3.8	4.4	7.5	13.8	16.9	3.7	22.5	3.8	25.3
ㄥ˙	rhyme_tone	o˥˩ ŋ	64	10.35	3.69	4.1	5.1	10.0	15.0	19.0	3.8	22.5	4.1	28.4
ㄦˇ	rhyme_tone	o˥˩ ɻ	205	8.39	3.62	3.8	4.4	7.5	16.1	19.4	3.7	24.4	3.8	29.0
ㄦˊ	rhyme_tone	o˥˩ ɻ	634	8.38	2.57	3.7	4.4	8.1	13.1	16.0	3.7	21.3	3.7	24.1
ㄦˋ	rhyme_tone	o˥˩ ɻ	206	11.37	3.85	3.8	5.6	11.2	19.2	21.8	3.7	25.0	3.8	32.8
ㄧˇ	rhyme_tone	i˥	3117	6.81	4.36	1.9	2.5	5.6	16.3	21.3	1.9	27.5	1.9	31.9
ㄧˉ	rhyme_tone	i˥	1364	7.31	4.37	1.9	2.5	6.2	15.6	22.5	1.9	27.5	1.9	33.7
ㄧˊ	rhyme_tone	i˥	2984	7.03	3.74	1.9	2.5	6.3	15.6	20.0	1.9	27.5	1.9	30.0
ㄧˋ	rhyme_tone	i˥	3765	7.54	3.80	1.9	3.1	6.9	15.0	20.6	1.9	32.5	1.9	30.9
ㄧ˙	rhyme_tone	i˥	187	8.12	3.82	2.4	3.1	8.1	14.2	16.2	1.9	16.3	2.4	24.4
ㄧㄚˇ	rhyme_tone	j a˥	56	12.39	4.81	6.9	7.3	10.6	22.7	23.1	6.9	23.1	6.9	34.7
ㄧㄚˉ	rhyme_tone	j a˥	198	12.44	3.79	5.0	6.9	11.9	19.4	22.5	4.4	25.6	5.0	33.8
ㄧㄚˊ	rhyme_tone	j a˥	148	13.78	3.83	7.2	8.8	12.8	21.7	23.8	5.6	25.0	7.2	35.6
ㄧㄚˋ	rhyme_tone	j a˥	120	12.10	3.85	5.7	6.3	11.6	19.4	21.3	5.0	21.9	5.7	31.9
ㄧㄚ˙	rhyme_tone	j a˥	250	16.27	3.43	4.4	9.4	16.9	20.6	21.9	3.8	23.1	4.4	32.8
ㄧㄛˉ	rhyme_tone	j o˥	5	18.50	3.32	13.9	14.4	17.5	22.7	23.0	13.8	23.1		
ㄧㄛ˙	rhyme_tone	j o˥	12	18.91	2.33	16.2	16.2	18.4	23.1	23.6	16.2	23.8		
ㄧㄝˇ	rhyme_tone	j e˨˩˦	695	8.95	2.73	4.4	5.6	8.7	13.7	18.9	3.7	22.5	4.4	28.3
ㄧㄝˉ	rhyme_tone	j e˨˩˦	142	9.10	3.74	4.4	5.0	7.8	16.8	20.9	4.4	23.1	4.4	31.3
ㄧㄝˊ	rhyme_tone	j e˨˩˦	531	8.85	2.92	3.8	5.0	8.1	14.4	18.6	3.7	23.8	3.8	27.8
ㄧㄝˋ	rhyme_tone	j e˨˩˦	453	12.46	4.64	5.6	6.9	11.3	21.9	24.4	4.4	31.3	5.6	36.6
ㄧㄝ˙	rhyme_tone	j e˨˩˦	62	11.66	4.19	6.0	6.9	10.6	18.8	22.3	5.6	25.0	6.0	33.5
ㄧㄠˇ	rhyme_tone	j aw˨˩˦	283	12.27	4.34	5.6	6.9	11.2	21.9	23.7	5.0	26.2	5.6	35.6
ㄧㄠˉ	rhyme_tone	j aw˨˩˦	223	11.13	3.96	5.8	6.9	10.0	19.3	24.0	4.4	27.5	5.8	35.9
ㄧㄠˊ	rhyme_tone	j aw˨˩˦	430	11.21	3.55	6.3	7.5	10.0	18.7	23.6	3.7	25.6	6.3	35.4
ㄧㄠˋ	rhyme_tone	j aw˨˩˦	1152	10.35	2.97	5.9	6.9	10.0	16.9	20.6	3.7	26.9	5.9	30.9
ㄧㄠ˙	rhyme_tone	j aw˨˩˦	7	9.82	3.53	5.7	6.0	8.1	15.1	16.0	5.6	16.2		
ㄧㄡˇ	rhyme_tone	j ow˥˩	1324	9.40	2.76	5.6	6.3	8.8	14.4	20.6	3.8	25.6	5.6	30.9
ㄧㄡˉ	rhyme_tone	j ow˥˩	155	10.94	3.46	5.3	6.3	11.2	16.9	21.8	5.0	25.0	5.3	32.7
ㄧㄡˊ	rhyme_tone	j ow˥˩	878	10.00	3.48	5.6	6.3	9.4	18.1	22.5	4.4	25.6	5.6	33.7
ㄧㄡˋ	rhyme_tone	j ow˥˩	716	9.73	2.71	5.6	6.3	9.4	14.4	19.8	3.8	25.0	5.6	29.7
ㄧㄡ˙	rhyme_tone	j ow˥˩	31	10.95	3.22	6.9	7.2	10.0	16.2	17.8	6.9	18.1	6.9	26.6
ㄧㄢˇ	rhyme_tone	j e˥ n	687	12.36	4.72	5.6	5.6	11.3	20.6	25.0	4.4	29.4	5.6	37.5
ㄧㄢˉ	rhyme_tone	j e˥ n	925	11.01	3.80	5.6	6.3	10.0	17.5	21.9	5.6	23.8	5.6	32.8
ㄧㄢˊ	rhyme_tone	j e˥ n	837	12.36	4.42	5.6	6.9	11.3	20.6	25.6	5.6	28.1	5.6	38.4
ㄧㄢˋ	rhyme_tone	j e˥ n	1004	11.07	3.96	5.6	6.9	10.0	18.7	23.1	5.6	27.5	5.6	34.7
ㄧㄢ˙	rhyme_tone	j e˥ n	10	10.44	3.53	6.9	6.9	9.4	16.9	17.4	6.9	17.5		
ㄧㄣˇ	rhyme_tone	i˥ n	214	10.55	4.28	4.4	5.6	10.0	18.1	25.1	3.7	29.4	4.4	37.6
ㄧㄣˉ	rhyme_tone	i˥ n	1152	9.78	4.05	4.4	5.0	8.8	16.9	21.6	3.7	32.5	4.4	32.3
ㄧㄣˊ	rhyme_tone	i˥ n	433	11.06	4.49	4.6	5.6	10.0	19.4	24.4	4.4	33.1	4.6	36.6
ㄧㄣˋ	rhyme_tone	i˥ n	440	8.75	3.50	3.8	5.0	7.5	15.6	17.3	3.7	21.2	3.8	25.9
ㄧㄣ˙	rhyme_tone	i˥ n	23	7.99	2.99	4.4	4.4	6.9	12.5	15.4	4.4	16.2	4.4	23.1
ㄧㄤˇ	rhyme_tone	j a˧˥ ŋ	272	11.88	3.86	6.9	7.5	11.2	20.6	23.9	6.2	25.6	6.9	35.9
ㄧㄤˉ	rhyme_tone	j a˧˥ ŋ	45	15.21	3.80	9.7	11.2	14.4	21.6	26.0	9.4	28.8	9.7	39.0
ㄧㄤˊ	rhyme_tone	j a˧˥ ŋ	419	13.92	3.65	8.1	8.7	13.1	20.6	23.0	6.2	26.3	8.1	34.5
ㄧㄤˋ	rhyme_tone	j a˧˥ ŋ	560	13.72	3.66	7.5	8.7	13.7	19.4	21.2	6.2	23.7	7.5	31.9
ㄧㄤ˙	rhyme_tone	j a˧˥ ŋ	65	13.00	4.27	7.3	8.1	12.5	20.5	25.7	6.9	32.5	7.3	38.5
ㄧㄥˇ	rhyme_tone	i˥ ŋ	401	9.74	4.31	4.4	5.0	8.7	18.7	22.5	3.7	24.4	4.4	33.8
ㄧㄥˉ	rhyme_tone	i˥ ŋ	1259	8.59	3.49	3.8	4.9	7.5	15.6	19.4	3.7	23.7	3.8	29.1
ㄧㄥˊ	rhyme_tone	i˥ ŋ	1125	10.01	4.06	4.4	5.0	8.8	18.1	21.7	3.7	26.2	4.4	32.6
ㄧㄥˋ	rhyme_tone	i˥ ŋ	896	9.36	3.50	4.4	5.0	8.1	16.2	18.8	3.7	25.6	4.4	28.2
ㄧㄥ˙	rhyme_tone	i˥ ŋ	79	10.69	3.78	4.2	5.6	10.0	16.2	19.4	3.7	26.2	4.2	29.1
ㄨˇ	rhyme_tone	u˨˩˦	1106	7.77	4.30	1.9	3.1	6.3	16.9	21.3	1.9	26.2	1.9	31.9
ㄨˉ	rhyme_tone	u˨˩˦	1463	5.89	3.64	1.9	1.9	5.0	13.1	16.9	1.9	39.4	1.9	25.3
ㄨˊ	rhyme_tone	u˨˩˦	2277	5.66	3.47	1.9	1.9	5.0	12.5	17.6	1.9	30.6	1.9	26.5
ㄨˋ	rhyme_tone	u˨˩˦	3068	6.01	3.63	1.9	1.9	5.0	13.7	17.5	0.6	25.0	1.9	26.3
ㄨ˙	rhyme_tone	u˨˩˦	168	5.46	3.58	1.9	1.9	3.8	12.9	15.6	1.9	16.2	1.9	23.4
ㄨㄚˇ	rhyme_tone	w a˥	47	12.03	3.21	6.2	7.2	11.3	18.6	19.1	5.6	19.4	6.2	28.6
ㄨㄚˉ	rhyme_tone	w a˥	279	10.06	3.21	4.4	6.2	9.4	15.6	19.0	3.8	22.5	4.4	28.5
ㄨㄚˊ	rhyme_tone	w a˥	68	12.25	3.57	4.4	5.0	13.1	17.7	18.5	4.4	19.4	4.4	27.8
ㄨㄚˋ	rhyme_tone	w a˥	65	9.67	3.88	4.1	4.4	8.8	16.7	20.3	3.8	23.1	4.1	30.5
ㄨㄚ˙	rhyme_tone	w a˥	58	15.14	5.25	6.7	8.1	15.6	24.4	26.4	5.6	27.5	6.7	39.6
ㄨㄛˇ	rhyme_tone	ʔ o˨˩˦	2606	5.44	2.57	1.2	1.3	5.6	8.8	14.4	0.6	25.0	1.2	21.6
ㄨㄛˉ	rhyme_tone	ʔ o˨˩˦	1196	4.65	2.37	1.9	1.9	3.8	9.4	11.3	0.6	15.6	1.9	16.9
ㄨㄛˊ	rhyme_tone	ʔ o˨˩˦	1266	5.25	2.89	1.3	1.9	4.4	11.2	15.8	0.6	26.2	1.3	23.8
ㄨㄛˋ	rhyme_tone	ʔ o˨˩˦	1355	4.74	2.49	1.9	1.9	3.8	10.0	12.8	0.6	14.4	1.9	19.2
ㄨㄛ˙	rhyme_tone	ʔ o˨˩˦	56	5.88	3.49	1.6	1.9	4.4	11.4	13.4	1.3	13.7	1.6	20.1
ㄨㄞˇ	rhyme_tone	w aj˥˩	24	8.88	2.66	6.2	6.2	8.1	13.6	16.6	6.2	17.5	6.2	25.0
ㄨㄞˉ	rhyme_tone	w aj˥˩	69	9.98	3.55	4.8	5.6	8.8	17.0	18.1	4.4	18.1	4.8	27.2
ㄨㄞˊ	rhyme_tone	w aj˥˩	10	9.81	4.36	6.9	6.9	8.1	18.4	20.2	6.9	20.6		
ㄨㄞˋ	rhyme_tone	w aj˥˩	582	10.53	3.92	4.4	5.6	10.0	18.1	21.9	3.7	23.7	4.4	32.8
ㄨㄞ˙	rhyme_tone	w aj˥˩	8	9.69	3.16	5.2	5.9	8.4	13.8	13.8	5.0	13.8		
ㄨㄟˇ	rhyme_tone	w ej˧˥	487	10.90	4.96	4.4	5.2	8.8	20.6	22.0	4.4	25.6	4.4	32.9
ㄨㄟˉ	rhyme_tone	w ej˧˥	470	9.14	3.70	3.8	4.4	8.1	16.0	19.3	3.7	24.4	3.8	29.0
ㄨㄟˊ	rhyme_tone	w ej˧˥	706	10.34	3.73	4.4	5.6	10.0	18.7	22.5	3.8	23.8	4.4	33.8
ㄨㄟˋ	rhyme_tone	w ej˧˥	1434	9.67	4.18	4.4	5.0	8.7	18.1	21.7	3.7	25.0	4.4	32.5
ㄨㄟ˙	rhyme_tone	w ej˧˥	8	9.61	5.52	5.0	5.0	6.6	18.6	20.7	5.0	21.2		
ㄨㄢˇ	rhyme_tone	w a˥˩ n	401	12.85	3.73	6.9	8.7	11.9	20.0	23.7	5.6	28.1	6.9	35.6
ㄨㄢˉ	rhyme_tone	w a˥˩ n	477	11.07	3.23	5.6	6.9	10.6	16.9	19.4	5.6	23.1	5.6	29.1
ㄨㄢˊ	rhyme_tone	w a˥˩ n	545	13.11	4.06	6.3	7.5	12.5	21.2	23.5	5.6	25.0	6.3	35.2
ㄨㄢˋ	rhyme_tone	w a˥˩ n	431	11.42	3.19	6.3	6.9	10.6	16.9	19.4	6.2	23.1	6.3	29.1
ㄨㄢ˙	rhyme_tone	w a˥˩ n	12	10.21	2.76	6.9	7.2	9.7	14.9	16.0	6.9	16.3		
ㄨㄣˇ	rhyme_tone	w ə˥˩ n	163	10.72	4.32	5.0	5.7	9.4	19.4	22.5	5.0	23.1	5.0	33.8
ㄨㄣˉ	rhyme_tone	w ə˥˩ n	247	10.00	3.53	5.6	6.2	8.8	16.3	20.0	4.4	20.6	5.6	30.0
ㄨㄣˊ	rhyme_tone	w ə˥˩ n	259	12.43	4.51	5.6	6.9	11.3	21.3	24.0	5.6	26.9	5.6	36.0
ㄨㄣˋ	rhyme_tone	w ə˥˩ n	434	12.11	3.98	5.6	6.9	11.9	20.0	22.3	5.6	25.6	5.6	33.4
ㄨㄣ˙	rhyme_tone	w ə˥˩ n	1	18.13	0.00	18.1	18.1	18.1	18.1	18.1	18.1	18.1		
ㄨㄤˇ	rhyme_tone	w a˥˩ ŋ	267	12.62	3.32	8.1	8.8	11.9	20.0	23.3	7.5	26.9	8.1	35.0
ㄨㄤˉ	rhyme_tone	w a˥˩ ŋ	405	10.89	2.74	6.9	7.5	10.0	16.2	17.5	5.6	19.4	6.9	26.3
ㄨㄤˊ	rhyme_tone	w a˥˩ ŋ	416	14.13	3.48	8.1	9.4	13.8	21.3	23.1	6.9	25.0	8.1	34.7
