token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄔˇ	rhyme_tone	ʈʂʰ ʐ̩˥	21	13.63	5.74	5.6	8.1	13.8	23.7	28.3	5.0	29.4	5.6	42.4
ㄔˉ	rhyme_tone	ʈʂʰ ʐ̩˥	152	12.32	3.75	7.8	8.1	11.2	21.5	24.1	7.5	24.4	7.5	35.8
ㄔˊ	rhyme_tone	ʈʂʰ ʐ̩˥	57	12.03	3.57	8.1	8.7	10.6	19.6	23.8	8.1	23.8	8.1	38.8
ㄔˋ	rhyme_tone	ʈʂʰ ʐ̩˥	17	12.57	4.40	8.7	8.8	11.2	22.9	24.1	8.7	24.4	8.7	36.3
ㄕ	initial	ʂ	4743	6.62	1.36	3.8	4.4	6.3	8.8	10.0	1.9	12.5	3.8	15.4
ㄕˇ	rhyme_tone	ʂ ʐ̩˥˩	145	11.93	3.89	7.5	7.5	10.6	18.1	24.7	7.5	26.9	7.5	40.7
ㄕˉ	rhyme_tone	ʂ ʐ̩˥˩	161	14.44	3.95	8.1	10.0	13.8	23.1	24.3	8.1	26.9	8.1	37.6
ㄕˊ	rhyme_tone	ʂ ʐ̩˥˩	801	13.33	4.98	6.9	7.5	11.9	24.4	25.6	5.6	29.4	6.9	39.6
ㄕˋ	rhyme_tone	ʂ ʐ̩˥˩	2007	11.02	4.71	6.2	6.9	9.4	23.1	25.0	4.4	28.1	6.3	37.5
ㄕ˙	rhyme_tone	ʂ ʐ̩˥˩	35	10.36	4.11	6.5	7.3	8.8	19.4	21.4	6.2	22.5	6.5	33.0
ㄖ	initial	ʐ	2004	4.59	1.57	1.9	1.9	4.4	7.5	9.4	1.9	12.5	1.9	14.1
ㄖˋ	rhyme_tone	ʐ̩˥˩	96	9.80	4.32	1.9	1.9	10.0	17.0	18.9	1.9	22.5	1.9	28.0
ㄗ	initial	ts	2759	4.83	1.10	2.5	3.1	5.0	6.9	7.5	1.9	10.0	2.5	12.9
ㄗˇ	rhyme_tone	ts z̩˨˩˦	116	11.32	3.80	5.6	6.3	10.0	18.8	19.9	5.6	23.7	5.6	35.3
ㄗˉ	rhyme_tone	ts z̩˨˩˦	32	12.87	3.39	7.1	8.2	13.1	19.9	21.1	6.9	21.2	7.1	31.6
ㄗˊ	rhyme_tone	ts z̩˨˩˦	34	11.34	4.23	6.3	7.1	10.0	20.4	24.2	6.3	25.6	6.3	36.1
ㄗˋ	rhyme_tone	ts z̩˨˩˦	282	10.42	2.33	5.5	7.5	10.0	14.4	19.0	5.0	24.4	5.0	30.1
ㄗ˙	rhyme_tone	ts z̩˨˩˦	616	10.96	4.02	5.6	6.3	9.4	18.7	21.2	5.0	28.7	5.6	31.9
ㄘ	initial	tsʰ	1157	7.24	1.77	3.8	4.4	6.9	10.0	11.2	1.9	11.9	3.8	16.9
ㄘˇ	rhyme_tone	tsʰ z̩˧˥	94	14.55	5.46	6.9	8.8	12.5	25.0	25.7	6.9	26.9	7.0	38.4
ㄘˉ	rhyme_tone	tsʰ z̩˧˥	1	13.12	0.00	13.1	13.1	13.1	13.1	13.1	13.1	13.1		
ㄘˊ	rhyme_tone	tsʰ z̩˧˥	61	14.48	5.02	7.5	8.7	13.1	25.6	27.5	7.5	27.5	7.5	41.2
ㄘˋ	rhyme_tone	tsʰ z̩˧˥	160	13.29	4.51	7.5	8.1	11.9	23.1	25.6	5.6	26.9	7.5	38.4
ㄙ	initial	s	1240	6.76	1.25	4.4	5.0	6.9	8.8	10.0	3.1	10.6	4.4	15.4
ㄙˇ	rhyme_tone	s z̩˥˩	87	14.17	3.87	9.3	10.0	13.7	23.9	26.3	8.7	26.9	9.4	39.4
ㄙˉ	rhyme_tone	s z̩˥˩	222	13.38	3.71	8.3	9.4	12.5	21.2	24.1	7.5	24.4	8.4	36.6
ㄙˊ	rhyme_tone	s z̩˥˩	32	14.08	4.85	8.5	9.4	12.8	24.8	28.2	8.1	28.8	8.5	42.2
ㄙˋ	rhyme_tone	s z̩˥˩	147	12.55	2.54	8.7	9.4	12.5	16.9	21.3	6.9	23.1	8.7	34.0
ㄙ˙	rhyme_tone	s z̩˥˩	12	14.17	4.68	9.0	9.8	11.3	22.1	22.9	8.8	23.1		
ㄚˇ	rhyme_tone	ʔ a˥˩	848	6.56	2.33	1.9	3.8	6.3	10.6	16.6	1.9	20.0	1.9	25.3
ㄚˉ	rhyme_tone	ʔ a˥˩	2947	4.99	2.52	1.9	2.5	4.4	10.4	13.7	1.9	18.8	1.9	21.6
ㄚˊ	rhyme_tone	ʔ a˥˩	627	7.36	2.75	2.0	3.8	6.9	13.7	16.9	1.9	18.8	2.3	26.3
ㄚˋ	rhyme_tone	ʔ a˥˩	1407	6.54	2.30	1.9	3.1	6.3	10.6	15.0	1.9	16.9	1.9	23.4
ㄚ˙	rhyme_tone	ʔ a˥˩	547	10.72	4.58	1.9	3.1	11.2	17.5	20.6	1.9	25.0	1.9	32.3
ㄛˇ	rhyme_tone	o˧˥	7	3.84	0.62	3.1	3.1	3.8	4.8	5.0	3.1	5.0		
ㄛˉ	rhyme_tone	o˧˥	110	4.15	1.69	1.9	1.9	3.8	7.5	9.3	1.9	11.2	1.9	31.6
ㄛˊ	rhyme_tone	o˧˥	189	4.54	1.66	1.9	2.5	4.4	7.5	10.6	1.9	11.3	1.9	17.8
ㄛˋ	rhyme_tone	o˧˥	138	3.99	1.83	1.9	1.9	3.7	8.1	9.1	1.9	13.8	1.9	14.0
ㄛ˙	rhyme_tone	o˧˥	58	9.67	6.75	1.3	1.9	8.4	23.1	25.7	0.6	27.5	1.9	40.6
ㄜˇ	rhyme_tone	ʔ o˧˥	418	4.39	2.32	1.9	1.9	3.8	8.8	14.9	1.9	18.7	1.9	24.4
ㄜˉ	rhyme_tone	ʔ o˧˥	369	6.49	3.24	1.9	2.5	5.6	13.7	15.2	0.6	16.9	1.9	23.4
ㄜˊ	rhyme_tone	ʔ o˧˥	1176	4.91	3.48	1.9	1.9	3.8	13.1	16.3	1.9	21.9	1.9	25.3
ㄜˋ	rhyme_tone	ʔ o˧˥	1010	6.10	3.24	1.9	2.5	5.0	13.1	17.5	1.9	26.2	1.9	27.2
ㄜ˙	rhyme_tone	ʔ o˧˥	5872	4.15	2.65	1.9	1.9	3.1	11.2	12.5	1.9	25.6	1.9	19.7
ㄞˇ	rhyme_tone	ʔ aj˥˩	379	7.18	3.09	3.1	4.3	6.3	13.7	18.8	2.5	28.1	3.1	28.1
ㄞˉ	rhyme_tone	ʔ aj˥˩	607	6.77	2.91	3.1	3.8	6.2	13.7	15.6	1.9	20.6	3.1	23.4
ㄞˊ	rhyme_tone	ʔ aj˥˩	1768	6.63	3.41	1.9	2.5	5.6	15.0	16.9	1.9	21.3	1.9	26.3
ㄞˋ	rhyme_tone	ʔ aj˥˩	2123	6.58	3.23	1.9	3.1	5.6	13.7	17.5	0.6	23.1	1.9	30.0
ㄞ˙	rhyme_tone	ʔ aj˥˩	138	8.88	4.26	2.1	3.8	8.1	16.2	17.5	1.9	18.1	2.4	26.2
ㄟˇ	rhyme_tone	ʔ ej˥	394	6.35	2.33	3.1	3.7	6.2	9.4	15.8	1.9	20.6	3.1	30.0
ㄟˉ	rhyme_tone	ʔ ej˥	400	5.92	2.73	1.9	3.1	5.6	11.3	16.9	1.9	20.0	1.9	25.1
ㄟˊ	rhyme_tone	ʔ ej˥	846	5.82	2.63	1.9	2.5	5.6	10.0	16.6	1.9	20.6	1.9	24.8
ㄟˋ	rhyme_tone	ʔ ej˥	586	6.88	3.22	2.5	3.7	6.2	15.0	16.9	1.9	20.6	2.5	25.3
ㄟ˙	rhyme_tone	ʔ ej˥	29	9.22	5.23	3.9	4.4	6.9	20.7	22.5	3.8	22.5	3.9	33.8
ㄠˇ	rhyme_tone	ʔ aw˥˩	1398	7.17	2.98	2.5	3.8	6.9	15.0	18.1	1.9	20.0	2.5	28.1
ㄠˉ	rhyme_tone	ʔ aw˥˩	556	7.47	2.56	1.9	3.7	7.5	12.5	15.3	1.9	17.5	1.9	23.4
ㄠˊ	rhyme_tone	ʔ aw˥˩	740	8.15	3.76	2.5	3.7	7.5	16.3	18.7	1.9	27.5	2.5	28.1
ㄠˋ	rhyme_tone	ʔ aw˥˩	1531	7.26	2.91	1.9	3.8	6.3	13.7	15.6	1.9	18.1	1.9	24.4
ㄠ˙	rhyme_tone	ʔ aw˥˩	41	7.73	2.96	4.4	4.4	6.9	13.1	14.8	4.4	15.0	3.4	23.0
ㄡˇ	rhyme_tone	ʔ ow˥	575	7.47	3.33	1.9	3.8	6.3	15.6	17.7	0.6	20.6	1.9	28.1
ㄡˉ	rhyme_tone	ʔ ow˥	671	5.57	2.35	2.5	3.1	5.0	9.4	14.4	1.9	21.9	2.5	21.7
ㄡˊ	rhyme_tone	ʔ ow˥	579	7.23	3.28	1.9	3.7	6.3	15.0	16.4	1.9	18.8	1.9	25.3
ㄡˋ	rhyme_tone	ʔ ow˥	844	7.51	3.65	1.9	3.1	6.3	13.8	15.4	1.9	16.9	1.9	22.5
ㄡ˙	rhyme_tone	ʔ ow˥	74	7.18	3.17	1.9	3.1	6.3	13.1	14.3	1.9	15.6	1.9	21.0
ㄢˇ	rhyme_tone	ʔ a˥ n	576	9.12	2.65	5.0	6.1	8.7	15.0	18.1	3.8	19.4	5.0	28.1
ㄢˉ	rhyme_tone	ʔ a˥ n	946	9.78	3.25	5.0	6.2	8.8	16.2	19.1	4.4	25.0	5.0	29.1
ㄢˊ	rhyme_tone	ʔ a˥ n	962	9.15	2.79	3.8	5.6	8.8	15.0	18.1	3.7	20.6	3.8	27.2
ㄢˋ	rhyme_tone	ʔ a˥ n	1475	8.84	3.47	4.4	5.0	8.1	15.6	19.5	3.7	25.0	4.4	30.9
ㄢ˙	rhyme_tone	ʔ a˥ n	62	9.68	4.53	5.0	5.6	8.1	16.8	25.5	5.0	33.1	5.0	36.6
ㄣˇ	rhyme_tone	ʔ ə˥ n	547	6.58	2.22	3.1	3.7	6.3	10.0	14.4	3.1	21.9	3.1	30.3
ㄣˉ	rhyme_tone	ʔ ə˥ n	927	7.84	2.34	3.8	5.0	7.5	12.5	15.0	3.7	23.7	3.8	24.4
ㄣˊ	rhyme_tone	ʔ ə˥ n	1422	8.08	3.26	3.7	3.8	7.5	15.6	17.5	3.1	19.4	3.7	27.2
ㄣˋ	rhyme_tone	ʔ ə˥ n	354	8.16	2.85	3.8	5.0	7.5	13.8	16.8	3.7	27.5	3.8	26.5
ㄣ˙	rhyme_tone	ʔ ə˥ n	873	6.42	2.66	3.7	3.8	5.6	11.9	15.0	3.7	18.1	3.7	23.4
ㄤˇ	rhyme_tone	ʔ a˧˥ ŋ	263	9.53	2.84	5.6	6.2	8.8	15.0	18.1	4.4	20.0	5.6	28.1
ㄤˉ	rhyme_tone	ʔ a˧˥ ŋ	849	8.58	2.39	5.0	5.6	8.1	13.8	15.6	3.8	17.5	5.0	24.4
ㄤˊ	rhyme_tone	ʔ a˧˥ ŋ	772	9.28	2.89	5.0	6.2	8.7	15.6	17.7	4.4	21.9	5.0	27.2
ㄤˋ	rhyme_tone	ʔ a˧˥ ŋ	1231	8.85	2.82	4.4	5.6	8.1	15.0	16.9	3.8	19.4	4.4	25.3
ㄤ˙	rhyme_tone	ʔ a˧˥ ŋ	84	8.21	2.21	4.9	5.0	7.5	12.4	13.9	4.4	14.4	5.0	21.7
ㄥˇ	rhyme_tone	o˥˩ ŋ	230	7.92	2.18	4.4	5.0	7.5	12.2	14.8	3.7	18.1	4.4	27.2
ㄥˉ	rhyme_tone	o˥˩ ŋ	789	8.43	2.77	4.4	5.0	7.5	14.4	16.2	3.8	18.1	4.4	24.4
ㄥˊ	rhyme_tone	o˥˩ ŋ	944	7.79	2.74	3.8	5.0	6.9	13.1	17.5	3.7	21.3	3.8	27.2
ㄥˋ	rhyme_tone	o˥˩ ŋ	511	7.69	2.58	3.8	4.4	7.5	13.1	16.9	3.7	22.5	3.8	25.3
ㄥ˙	rhyme_tone	o˥˩ ŋ	60	10.14	3.74	4.1	5.0	10.0	15.1	19.2	3.8	22.5	4.1	28.5
ㄦˇ	rhyme_tone	o˥˩ ɻ	184	7.95	3.00	3.8	4.4	6.9	14.3	16.7	3.7	23.8	3.8	28.2
ㄦˊ	rhyme_tone	o˥˩ ɻ	529	8.02	3.00	1.9	3.1	8.1	13.5	16.1	0.6	21.3	1.9	23.4
ㄦˋ	rhyme_tone	o˥˩ ɻ	195	11.56	3.81	3.6	6.1	11.2	18.9	23.2	1.9	25.0	3.7	34.4
ㄦ˙	erhua	ʔ o ɻ	409	6.49	3.48	1.9	1.9	6.2	12.5	15.6	0.6	18.8	1.5	25.6
ㄧˇ	rhyme_tone	i˥	2619	6.13	3.52	1.9	2.5	5.0	14.4	18.1	1.9	27.5	1.9	31.9
ㄧˉ	rhyme_tone	i˥	1116	6.86	4.20	1.9	2.5	5.6	15.0	22.5	1.9	27.5	1.9	33.2
ㄧˊ	rhyme_tone	i˥	2592	6.79	3.44	1.9	2.5	6.2	13.8	18.8	1.9	26.3	1.9	29.1
ㄧˋ	rhyme_tone	i˥	3176	7.17	3.56	1.9	3.1	6.3	14.4	19.5	1.9	32.5	1.9	30.2
ㄧ˙	rhyme_tone	i˥	141	7.40	3.89	2.1	3.1	6.2	14.4	16.0	1.9	16.3	2.3	23.7
ㄧㄚˇ	rhyme_tone	j a˥	81	9.40	3.85	4.2	5.6	8.7	19.4	23.1	3.8	23.1	4.3	34.7
ㄧㄚˉ	rhyme_tone	j a˥	517	8.74	3.61	3.7	5.0	7.5	15.6	20.0	3.1	25.6	3.5	30.0
ㄧㄚˊ	rhyme_tone	j a˥	159	12.04	4.10	4.2	6.9	11.9	19.4	23.4	1.9	23.8	4.5	35.0
ㄧㄚˋ	rhyme_tone	j a˥	652	7.92	3.18	3.4	4.4	6.9	15.0	17.5	1.9	20.0	3.1	26.3
ㄧㄚ˙	rhyme_tone	j a˥	148	15.94	3.99	4.6	9.4	17.5	20.6	21.6	3.8	23.1	4.0	32.4
ㄧㄛˉ	rhyme_tone	j o˥	3	19.17	4.34	13.3	13.9	21.2	22.9	23.1	13.1	23.1		
ㄧㄛ˙	rhyme_tone	j o˥	4	18.28	1.20	16.9	17.0	18.1	19.8	20.0	16.9	20.0		
ㄧㄝˇ	rhyme_tone	j e˨˩˦	767	8.18	2.71	3.7	4.4	8.1	13.1	16.3	1.9	21.3	3.7	25.2
ㄧㄝˉ	rhyme_tone	j e˨˩˦	491	6.42	2.67	2.5	3.7	5.6	12.2	16.3	1.9	19.4	2.5	24.4
ㄧㄝˊ	rhyme_tone	j e˨˩˦	666	8.09	2.83	3.8	4.4	7.5	14.4	17.1	3.1	21.3	3.8	27.2
ㄧㄝˋ	rhyme_tone	j e˨˩˦	508	9.97	4.37	3.7	4.4	8.8	18.1	22.5	1.9	24.4	3.6	34.7
ㄧㄝ˙	rhyme_tone	j e˨˩˦	77	9.99	4.73	3.1	3.6	9.4	17.6	21.7	3.1	25.0	3.1	32.1
ㄧㄠˇ	rhyme_tone	j aw˨˩˦	842	8.09	3.30	3.8	5.0	6.9	15.6	19.4	2.5	23.7	3.7	31.9
ㄧㄠˉ	rhyme_tone	j aw˨˩˦	339	8.97	3.55	3.1	5.0	8.1	15.7	20.0	1.9	22.5	3.1	32.2
ㄧㄠˊ	rhyme_tone	j aw˨˩˦	618	9.60	3.79	3.8	5.0	8.8	16.9	23.0	2.5	25.6	3.8	34.7
ㄧㄠˋ	rhyme_tone	j aw˨˩˦	1356	9.31	2.79	3.8	5.5	9.4	14.4	18.1	1.9	26.9	3.2	29.1
ㄧㄠ˙	rhyme_tone	j aw˨˩˦	18	6.08	1.95	2.2	3.5	5.6	9.1	10.8	1.9	11.2		
ㄧㄡˇ	rhyme_tone	j ow˥˩	1198	9.00	2.63	3.8	5.6	8.7	13.7	18.1	2.5	26.9	3.8	30.3
ㄧㄡˉ	rhyme_tone	j ow˥˩	238	8.41	3.70	3.1	3.8	7.5	14.5	20.2	1.9	25.0	3.1	29.9
ㄧㄡˊ	rhyme_tone	j ow˥˩	918	9.31	3.34	3.7	5.0	8.8	15.6	21.1	1.9	26.3	3.8	32.8
ㄧㄡˋ	rhyme_tone	j ow˥˩	1297	6.26	3.60	1.9	1.9	5.6	13.1	15.0	1.9	20.6	1.9	23.1
ㄧㄡ˙	rhyme_tone	j ow˥˩	30	9.10	3.57	3.9	4.4	8.4	15.7	17.8	3.8	18.1	4.0	26.6
ㄧㄢˇ	rhyme_tone	j e˥ n	730	10.96	4.07	5.6	5.6	10.0	18.1	22.3	2.5	25.0	5.6	35.6
ㄧㄢˉ	rhyme_tone	j e˥ n	1239	10.05	3.37	5.6	6.2	9.4	16.2	20.0	3.7	23.8	5.6	31.6
ㄧㄢˊ	rhyme_tone	j e˥ n	1053	11.49	3.95	5.6	6.9	10.6	18.8	23.7	3.7	27.5	5.6	36.6
ㄧㄢˋ	rhyme_tone	j e˥ n	1385	9.97	3.52	5.0	6.2	8.8	17.5	21.9	3.8	26.9	5.0	33.7
ㄧㄢ˙	rhyme_tone	j e˥ n	12	10.00	3.25	6.9	6.9	8.7	16.5	17.3	6.9	17.5		
ㄧㄣˇ	rhyme_tone	i˥ n	179	9.63	3.53	4.4	5.6	9.4	16.2	18.5	3.7	25.6	4.4	31.8
ㄧㄣˉ	rhyme_tone	i˥ n	903	9.18	3.88	4.4	5.0	8.1	16.2	21.2	3.7	32.5	4.4	32.1
ㄧㄣˊ	rhyme_tone	i˥ n	406	10.21	3.94	4.4	5.0	9.4	17.5	22.5	3.8	25.0	4.4	36.0
ㄧㄣˋ	rhyme_tone	i˥ n	376	8.31	3.20	3.8	4.8	7.5	15.6	17.0	3.7	20.6	3.8	26.1
ㄧㄣ˙	rhyme_tone	i˥ n	21	7.80	3.05	4.4	4.4	6.9	12.5	15.5	4.4	16.2	4.4	23.2
ㄧㄤˇ	rhyme_tone	j a˧˥ ŋ	593	9.72	3.23	5.0	5.6	8.8	16.2	18.8	3.8	23.1	5.0	33.2
ㄧㄤˉ	rhyme_tone	j a˧˥ ŋ	314	8.86	2.69	5.0	5.6	8.1	15.0	17.4	4.4	21.9	5.0	27.5
ㄧㄤˊ	rhyme_tone	j a˧˥ ŋ	580	12.04	3.78	5.6	6.9	11.6	18.8	20.8	3.8	26.3	5.8	32.8
ㄧㄤˋ	rhyme_tone	j a˧˥ ŋ	877	10.47	3.85	5.0	5.6	9.4	18.1	20.0	4.4	21.9	5.0	30.9
ㄧㄤ˙	rhyme_tone	j a˧˥ ŋ	51	12.50	4.35	7.2	7.8	11.9	20.3	27.2	6.9	32.5	6.3	39.5
ㄧㄥˇ	rhyme_tone	i˥ ŋ	329	8.98	3.75	4.4	5.0	8.1	17.5	21.2	3.7	24.4	4.4	34.1
ㄧㄥˉ	rhyme_tone	i˥ ŋ	1086	8.35	3.36	3.8	4.4	7.5	15.0	18.8	3.7	23.7	3.8	29.1
ㄧㄥˊ	rhyme_tone	i˥ ŋ	945	9.40	3.63	4.4	5.0	8.7	16.9	20.6	3.7	26.2	4.4	31.3
ㄧㄥˋ	rhyme_tone	i˥ ŋ	743	8.92	3.22	4.4	5.0	8.1	15.6	18.1	3.7	25.6	4.4	28.1
ㄧㄥ˙	rhyme_tone	i˥ ŋ	67	9.78	3.29	4.2	5.2	9.4	15.6	17.5	3.7	17.5	4.2	26.3
ㄨˇ	rhyme_tone	u˨˩˦	921	7.23	3.73	1.9	3.1	6.3	15.0	20.0	1.9	26.2	1.9	31.9
ㄨˉ	rhyme_tone	u˨˩˦	1189	5.70	3.42	1.9	1.9	5.0	12.5	15.6	1.9	38.7	1.9	23.5
ㄨˊ	rhyme_tone	u˨˩˦	1887	5.47	3.27	1.9	1.9	5.0	11.3	16.9	1.9	30.0	1.9	25.3
ㄨˋ	rhyme_tone	u˨˩˦	2523	5.60	3.28	1.9	1.9	4.4	13.1	16.3	1.9	25.0	1.9	26.3
ㄨ˙	rhyme_tone	u˨˩˦	129	4.78	3.20	1.9	1.9	3.7	12.5	13.6	1.9	15.6	1.9	22.2
ㄨㄚˇ	rhyme_tone	w a˥	39	11.39	2.80	6.1	6.9	11.3	18.1	18.5	5.6	18.8	6.2	28.6
ㄨㄚˉ	rhyme_tone	w a˥	430	8.39	3.21	1.9	4.4	8.1	15.3	16.9	1.9	19.4	1.9	26.7
ㄨㄚˊ	rhyme_tone	w a˥	100	9.66	4.40	3.7	4.4	7.8	16.9	18.1	3.1	19.4	3.7	27.2
ㄨㄚˋ	rhyme_tone	w a˥	243	8.57	3.63	2.1	4.4	7.5	15.0	16.6	1.9	18.7	1.9	24.5
ㄨㄚ˙	rhyme_tone	w a˥	41	13.05	4.67	5.3	7.5	11.9	20.0	23.6	5.0	25.6	5.4	39.6
ㄨㄛˇ	rhyme_tone	ʔ w o	1761	7.14	2.86	3.1	4.4	6.9	11.3	20.0	1.3	26.3	3.1	30.9
ㄨㄛˉ	rhyme_tone	ʔ w o	967	8.58	3.41	3.8	4.4	7.5	15.0	16.9	1.9	21.9	3.8	26.3
ㄨㄛˊ	rhyme_tone	ʔ w o	965	7.15	3.48	3.1	3.8	6.3	14.4	21.9	1.2	27.5	3.1	31.9
ㄨㄛˋ	rhyme_tone	ʔ w o	1126	7.24	3.31	2.5	3.8	6.3	15.0	17.5	1.9	18.8	2.5	26.2
ㄨㄛ˙	rhyme_tone	ʔ w o	39	7.48	3.22	2.1	3.1	6.9	13.2	13.7	1.9	13.8	2.2	21.1
ㄨㄞˇ	rhyme_tone	w aj˥˩	21	8.99	2.78	6.2	6.3	8.1	13.7	16.8	6.2	17.5	6.2	25.1
ㄨㄞˉ	rhyme_tone	w aj˥˩	51	9.89	3.54	4.7	5.6	8.8	15.9	17.5	4.4	17.5	4.7	26.3
ㄨㄞˊ	rhyme_tone	w aj˥˩	42	7.44	2.42	4.4	5.6	6.9	9.4	16.3	4.4	20.6	4.4	24.4
ㄨㄞˋ	rhyme_tone	w aj˥˩	535	10.04	3.71	4.0	5.6	9.4	16.9	21.3	1.9	23.7	4.2	32.1
ㄨㄞ˙	rhyme_tone	w aj˥˩	7	9.02	2.97	5.2	5.8	8.1	13.6	13.7	5.0	13.8		
ㄨㄟˇ	rhyme_tone	w ej˧˥	398	9.88	4.46	4.4	5.0	8.1	19.4	22.5	1.9	26.9	4.4	33.3
ㄨㄟˉ	rhyme_tone	w ej˧˥	486	8.47	3.63	3.1	4.4	7.5	15.0	17.5	2.5	24.4	3.1	27.2
ㄨㄟˊ	rhyme_tone	w ej˧˥	811	9.28	4.00	3.1	3.8	8.8	16.9	21.9	1.9	23.7	3.1	32.8
ㄨㄟˋ	rhyme_tone	w ej˧˥	1609	8.15	4.01	1.9	3.1	6.9	16.2	19.3	1.9	23.1	1.9	30.9
ㄨㄟ˙	rhyme_tone	w ej˧˥	65	3.98	3.16	1.9	1.9	3.1	6.9	16.4	1.9	21.2	1.9	24.7
ㄨㄢˇ	rhyme_tone	w a˥˩ n	356	12.38	3.47	6.9	8.1	11.9	19.4	22.5	5.6	28.1	6.9	35.6
ㄨㄢˉ	rhyme_tone	w a˥˩ n	436	10.46	3.06	5.6	6.3	10.0	16.9	18.5	3.8	20.0	5.6	28.1
ㄨㄢˊ	rhyme_tone	w a˥˩ n	512	12.81	4.00	6.3	6.9	11.9	20.6	23.1	5.0	25.0	6.3	35.2
ㄨㄢˋ	rhyme_tone	w a˥˩ n	419	10.65	3.26	5.6	6.3	10.0	16.9	19.4	3.7	23.1	5.6	29.1
ㄨㄢ˙	rhyme_tone	w a˥˩ n	117	7.51	2.32	3.9	5.0	6.9	12.0	14.3	3.7	15.0	3.9	23.2
ㄨㄣˇ	rhyme_tone	w ə˥˩ n	139	10.48	3.99	5.0	5.6	9.4	18.8	22.9	5.0	23.1	5.0	34.2
ㄨㄣˉ	rhyme_tone	w ə˥˩ n	259	9.61	3.45	4.7	5.6	8.7	15.7	19.6	4.4	20.6	4.4	29.3
ㄨㄣˊ	rhyme_tone	w ə˥˩ n	250	11.81	4.41	5.3	6.3	10.6	21.0	23.4	4.4	26.9	5.4	35.6
ㄨㄣˋ	rhyme_tone	w ə˥˩ n	379	11.58	3.66	5.6	6.3	11.3	18.8	21.9	5.6	25.6	5.6	33.6
ㄨㄣ˙	rhyme_tone	w ə˥˩ n	1	18.13	0.00	18.1	18.1	18.1	18.1	18.1	18.1	18.1		
ㄨㄤˇ	rhyme_tone	w a˥˩ ŋ	233	12.31	2.99	8.1	8.7	11.9	18.4	21.3	6.9	26.9	8.1	35.2
ㄨㄤˉ	rhyme_tone	w a˥˩ ŋ	366	10.37	2.64	5.6	6.9	10.0	15.6	17.5	5.6	18.8	5.6	26.3
ㄨㄤˊ	rhyme_tone	w a˥˩ ŋ	434	12.93	3.62	5.8	7.5	13.1	19.4	22.5	5.0	24.4	6.1	35.6
