token_354	token_type	mfa_phones	count	mean_frames	std_frames	p01	p5	p50	p95	p99	min	max	suggested_floor	suggested_cap
ㄛˊ	rhyme_tone	o˧˥	233	4.38	1.76	0.6	2.5	3.8	8.1	10.4	0.6	11.9	1.0	15.6
ㄛˋ	rhyme_tone	o˧˥	164	4.50	1.79	1.9	2.5	3.8	8.0	10.7	1.9	11.9	1.9	16.0
ㄛ˙	rhyme_tone	o˧˥	118	11.09	5.96	2.0	3.1	11.6	20.7	21.3	1.9	22.5	2.0	31.9
ㄜˇ	rhyme_tone	ʔ o˧˥	541	7.05	3.79	2.1	3.1	5.6	15.6	16.6	1.9	18.1	2.1	24.9
ㄜˉ	rhyme_tone	ʔ o˧˥	581	7.64	2.95	3.1	4.4	6.9	13.1	14.5	1.3	16.9	3.1	21.8
ㄜˊ	rhyme_tone	ʔ o˧˥	1593	6.22	3.58	1.9	2.5	5.0	15.0	16.9	1.9	23.8	1.9	25.3
ㄜˋ	rhyme_tone	ʔ o˧˥	1462	6.82	2.89	2.3	3.2	6.2	13.1	15.2	1.9	23.1	2.3	22.9
ㄜ˙	rhyme_tone	ʔ o˧˥	6607	4.91	2.85	1.9	1.9	3.8	11.2	13.1	1.3	23.1	1.9	19.7
ㄞˇ	rhyme_tone	ʔ aj˥˩	653	8.21	3.25	3.8	5.0	7.5	16.2	19.4	2.5	25.0	3.8	29.1
ㄞˉ	rhyme_tone	ʔ aj˥˩	784	7.88	2.80	3.8	5.0	7.2	14.4	17.5	3.1	21.2	3.8	26.2
ㄞˊ	rhyme_tone	ʔ aj˥˩	1962	8.01	3.82	2.5	3.8	6.9	16.2	18.1	1.9	25.6	2.5	27.2
ㄞˋ	rhyme_tone	ʔ aj˥˩	2373	7.93	3.17	3.7	4.4	6.9	14.4	18.7	1.9	24.4	3.7	28.1
ㄞ˙	rhyme_tone	ʔ aj˥˩	127	9.66	3.66	3.1	5.0	9.4	15.6	17.3	3.1	18.8	3.1	26.0
ㄟˇ	rhyme_tone	ʔ ej˥	524	7.76	3.13	3.3	4.4	6.9	16.2	19.4	1.9	20.6	3.3	29.1
ㄟˉ	rhyme_tone	ʔ ej˥	341	7.34	2.80	3.4	4.4	6.9	13.7	16.6	2.5	16.9	3.4	24.9
ㄟˊ	rhyme_tone	ʔ ej˥	861	7.08	2.95	2.5	3.7	6.9	14.4	17.7	1.9	20.0	2.5	26.6
ㄟˋ	rhyme_tone	ʔ ej˥	983	7.84	2.85	3.8	5.0	6.9	14.4	16.2	2.5	20.6	3.8	24.4
ㄟ˙	rhyme_tone	ʔ ej˥	31	11.57	4.25	3.2	5.3	12.5	17.8	20.7	2.5	21.9	3.2	31.1
ㄠˇ	rhyme_tone	ʔ aw˥˩	1484	8.47	3.63	3.8	5.0	7.5	16.9	19.4	1.9	24.4	3.8	29.1
ㄠˉ	rhyme_tone	ʔ aw˥˩	842	8.80	2.97	4.4	5.6	8.1	15.6	16.9	3.1	21.2	4.4	25.3
ㄠˊ	rhyme_tone	ʔ aw˥˩	794	8.55	3.24	4.4	5.0	7.5	16.2	19.4	2.5	25.6	4.4	29.1
ㄠˋ	rhyme_tone	ʔ aw˥˩	1791	8.60	3.01	3.8	5.0	8.1	15.0	16.3	1.9	20.0	3.8	24.4
ㄠ˙	rhyme_tone	ʔ aw˥˩	48	9.60	3.85	3.4	5.0	8.4	16.0	16.9	2.5	17.5	3.4	25.4
ㄡˇ	rhyme_tone	ʔ ow˥	985	9.05	4.01	3.6	5.0	7.5	16.9	18.8	2.5	21.3	3.6	28.1
ㄡˉ	rhyme_tone	ʔ ow˥	839	7.27	2.55	3.8	4.4	6.9	13.2	15.0	2.5	21.9	3.8	22.5
ㄡˊ	rhyme_tone	ʔ ow˥	790	8.47	3.37	3.7	4.4	7.5	16.2	17.5	1.9	18.7	3.7	26.2
ㄡˋ	rhyme_tone	ʔ ow˥	1249	8.96	3.32	3.8	4.4	8.1	14.4	15.3	1.9	18.1	3.8	23.0
ㄡ˙	rhyme_tone	ʔ ow˥	62	9.71	3.87	3.1	3.8	10.0	15.0	15.9	3.1	16.2	3.1	23.8
ㄢˇ	rhyme_tone	ʔ a˥ n	805	9.97	3.04	5.0	6.3	9.4	16.7	18.7	3.7	25.0	5.0	28.1
ㄢˉ	rhyme_tone	ʔ a˥ n	1182	10.08	3.16	5.6	6.3	9.4	16.2	20.0	3.8	23.1	5.6	30.0
ㄢˊ	rhyme_tone	ʔ a˥ n	1338	9.98	2.87	5.6	6.9	9.4	16.3	18.8	3.8	24.4	5.6	28.1
ㄢˋ	rhyme_tone	ʔ a˥ n	1695	10.30	3.15	5.6	6.3	9.4	16.2	20.6	3.7	24.4	5.6	30.9
ㄢ˙	rhyme_tone	ʔ a˥ n	50	10.07	3.14	5.3	5.6	9.1	15.3	17.5	5.0	18.1	5.3	26.3
ㄣˇ	rhyme_tone	ʔ ə˥ n	624	7.45	3.02	3.7	4.4	6.9	14.4	17.5	3.1	21.9	3.7	26.2
ㄣˉ	rhyme_tone	ʔ ə˥ n	908	8.83	2.74	5.0	5.6	8.1	14.4	18.1	3.7	25.0	5.0	27.2
ㄣˊ	rhyme_tone	ʔ ə˥ n	1938	8.94	3.34	3.8	5.0	8.1	15.6	17.5	2.5	21.3	3.8	26.3
ㄣˋ	rhyme_tone	ʔ ə˥ n	600	9.25	2.67	5.0	5.6	8.8	14.4	16.9	4.4	21.9	5.0	25.3
ㄣ˙	rhyme_tone	ʔ ə˥ n	499	7.44	3.49	3.7	3.8	6.2	13.8	16.9	3.7	18.1	3.7	25.3
ㄤˇ	rhyme_tone	ʔ a˧˥ ŋ	586	10.94	3.54	5.6	6.9	10.0	17.5	18.8	5.0	20.6	5.6	28.1
ㄤˉ	rhyme_tone	ʔ a˧˥ ŋ	1256	9.48	2.44	5.6	6.3	8.8	14.4	16.9	5.0	18.8	5.6	25.3
ㄤˊ	rhyme_tone	ʔ a˧˥ ŋ	1039	10.12	3.11	6.2	6.9	9.4	16.9	19.4	4.4	23.1	6.2	29.1
ㄤˋ	rhyme_tone	ʔ a˧˥ ŋ	1409	9.83	2.45	5.6	6.9	9.4	14.4	15.6	4.4	17.5	5.6	23.4
ㄤ˙	rhyme_tone	ʔ a˧˥ ŋ	96	10.36	2.53	5.6	6.9	10.0	14.5	15.7	5.0	17.5	5.6	23.6
ㄥˇ	rhyme_tone	o˥˩ ŋ	374	9.67	2.95	5.6	6.3	8.8	16.2	18.3	5.0	19.4	5.6	27.4
ㄥˉ	rhyme_tone	o˥˩ ŋ	1223	9.81	2.93	5.6	6.2	8.8	15.6	16.9	5.0	19.4	5.6	25.3
ㄥˊ	rhyme_tone	o˥˩ ŋ	1449	8.95	2.79	5.0	5.6	8.1	15.6	18.1	3.8	21.3	5.0	27.2
ㄥˋ	rhyme_tone	o˥˩ ŋ	832	9.00	2.02	5.6	6.3	8.8	13.1	15.0	5.0	16.9	5.6	22.5
ㄥ˙	rhyme_tone	o˥˩ ŋ	63	9.95	2.69	5.4	6.2	10.0	14.4	15.0	5.0	15.0	5.4	22.5
ㄦˇ	rhyme_tone	o˥˩ ɻ	175	9.95	3.43	4.8	5.6	9.4	15.6	22.7	3.8	25.6	4.8	34.0
ㄦˊ	rhyme_tone	o˥˩ ɻ	613	11.06	3.14	2.5	6.3	11.2	16.2	18.1	1.9	20.6	2.5	27.2
ㄦˋ	rhyme_tone	o˥˩ ɻ	326	12.96	2.79	6.9	8.8	12.5	17.5	21.4	3.8	26.9	6.9	32.1
ㄧˇ	rhyme_tone	i˥	2876	7.84	4.05	2.5	3.1	6.9	16.2	20.6	1.9	27.5	2.5	30.9
ㄧˉ	rhyme_tone	i˥	1767	8.50	4.19	2.9	3.8	7.5	15.6	21.9	1.9	30.6	2.9	32.8
ㄧˊ	rhyme_tone	i˥	2897	8.31	3.68	3.1	3.8	7.5	15.6	20.0	1.9	28.8	3.1	30.0
ㄧˋ	rhyme_tone	i˥	3792	9.00	3.69	3.1	4.4	8.1	16.2	20.0	1.9	30.6	3.1	30.0
ㄧ˙	rhyme_tone	i˥	123	8.69	4.01	2.6	3.2	8.1	15.0	19.6	2.5	22.5	2.6	29.4
ㄧㄚˇ	rhyme_tone	j a˥	100	10.11	4.10	4.4	5.6	8.8	18.8	22.5	3.8	25.6	4.4	33.8
ㄧㄚˉ	rhyme_tone	j a˥	801	8.78	3.19	4.4	5.0	8.1	15.6	18.1	2.5	22.5	4.4	27.2
ㄧㄚˊ	rhyme_tone	j a˥	130	11.88	4.05	5.0	6.5	11.6	19.4	24.0	2.5	24.4	5.0	36.0
ㄧㄚˋ	rhyme_tone	j a˥	765	8.99	3.15	3.7	5.0	8.1	15.0	16.3	1.9	18.8	3.7	24.4
ㄧㄚ˙	rhyme_tone	j a˥	146	18.23	2.57	8.6	14.4	18.7	21.7	22.8	6.9	23.1	8.6	34.3
ㄧㄛ˙	rhyme_tone	j o˥	23	19.65	1.68	16.9	16.9	19.4	21.9	22.8	16.9	23.1	16.9	34.3
ㄧㄝˇ	rhyme_tone	j e˨˩˦	931	9.70	3.09	4.4	5.6	9.4	15.9	18.6	2.5	24.4	4.4	27.8
ㄧㄝˉ	rhyme_tone	j e˨˩˦	595	7.57	2.79	3.7	4.4	6.9	13.7	16.3	1.9	18.1	3.7	24.4
ㄧㄝˊ	rhyme_tone	j e˨˩˦	745	8.60	3.15	4.4	5.0	7.5	15.0	17.5	3.7	21.3	4.4	26.3
ㄧㄝˋ	rhyme_tone	j e˨˩˦	736	10.07	3.85	4.0	5.0	9.4	18.1	20.6	1.9	26.2	4.0	30.9
ㄧㄝ˙	rhyme_tone	j e˨˩˦	67	11.81	4.64	4.2	5.0	10.6	19.8	21.1	3.7	21.9	4.2	31.6
ㄧㄠˇ	rhyme_tone	j aw˨˩˦	762	9.15	3.53	4.4	5.6	8.1	17.5	21.2	3.8	25.0	4.4	31.9
ㄧㄠˉ	rhyme_tone	j aw˨˩˦	585	9.71	3.51	5.0	5.6	8.8	16.9	20.7	4.4	24.4	5.0	31.1
ㄧㄠˊ	rhyme_tone	j aw˨˩˦	639	10.17	3.54	5.0	6.2	9.4	17.6	21.9	3.8	26.2	5.0	32.8
ㄧㄠˋ	rhyme_tone	j aw˨˩˦	1410	10.63	3.03	4.4	6.3	10.6	16.2	19.3	2.5	23.1	4.4	29.0
ㄧㄠ˙	rhyme_tone	j aw˨˩˦	15	11.17	4.86	5.7	6.1	8.8	20.4	21.1	5.6	21.3		
ㄧㄡˇ	rhyme_tone	j ow˥˩	1385	10.50	2.91	4.4	6.2	10.0	16.2	20.0	3.7	23.1	4.4	30.0
ㄧㄡˉ	rhyme_tone	j ow˥˩	307	9.03	3.69	3.8	5.0	7.5	16.1	19.4	3.7	21.2	3.8	29.1
ㄧㄡˊ	rhyme_tone	j ow˥˩	1103	10.40	3.74	4.4	5.6	10.0	18.1	23.1	3.1	39.4	4.4	34.7
ㄧㄡˋ	rhyme_tone	j ow˥˩	1185	7.53	3.60	2.5	3.1	6.3	14.4	17.5	1.9	21.3	2.5	26.2
ㄧㄡ˙	rhyme_tone	j ow˥˩	35	10.57	3.58	4.6	6.3	10.0	17.1	19.6	4.4	20.6	4.6	29.3
ㄧㄢˇ	rhyme_tone	j e˥ n	929	11.84	4.27	5.6	6.9	10.6	19.4	24.2	3.8	31.2	5.6	36.3
ㄧㄢˉ	rhyme_tone	j e˥ n	1248	10.44	3.20	5.6	6.9	9.4	16.9	18.8	3.7	24.4	5.6	28.1
ㄧㄢˊ	rhyme_tone	j e˥ n	1752	12.33	4.12	6.2	7.5	11.2	20.0	22.8	4.4	30.0	6.2	34.2
ㄧㄢˋ	rhyme_tone	j e˥ n	1951	10.55	3.05	5.6	6.9	10.0	16.3	19.7	4.4	23.1	5.6	29.5
ㄧㄢ˙	rhyme_tone	j e˥ n	6	10.21	3.05	6.9	6.9	9.7	14.5	14.9	6.9	15.0		
ㄧㄣˇ	rhyme_tone	i˥ n	344	10.62	3.84	5.6	6.2	9.4	16.9	21.9	4.4	25.6	5.6	32.8
ㄧㄣˉ	rhyme_tone	i˥ n	1315	10.24	3.61	5.0	5.6	9.4	16.9	20.6	3.8	26.3	5.0	30.9
ㄧㄣˊ	rhyme_tone	i˥ n	751	10.81	3.25	5.6	6.9	10.0	17.5	20.0	4.4	21.9	5.6	30.0
ㄧㄣˋ	rhyme_tone	i˥ n	604	9.35	3.24	4.4	5.6	8.7	15.6	21.9	3.7	25.0	4.4	32.8
ㄧㄣ˙	rhyme_tone	i˥ n	25	9.23	2.55	4.5	6.9	8.8	13.5	14.7	3.8	15.0	4.5	22.0
ㄧㄤˇ	rhyme_tone	j a˧˥ ŋ	666	10.70	3.15	5.6	6.9	10.0	16.9	20.6	5.0	26.3	5.6	30.9
ㄧㄤˉ	rhyme_tone	j a˧˥ ŋ	620	9.19	2.22	5.7	6.9	8.8	14.4	15.6	5.6	20.6	5.7	23.4
ㄧㄤˊ	rhyme_tone	j a˧˥ ŋ	699	12.37	3.55	6.3	7.5	11.9	18.8	21.3	5.6	25.6	6.3	31.9
ㄧㄤˋ	rhyme_tone	j a˧˥ ŋ	840	11.67	3.65	5.6	6.9	11.2	18.7	20.6	5.0	25.0	5.6	30.9
ㄧㄤ˙	rhyme_tone	j a˧˥ ŋ	33	12.22	2.75	7.5	8.2	11.9	16.5	19.0	7.5	20.0	7.5	28.5
ㄧㄥˇ	rhyme_tone	i˥ ŋ	461	10.65	3.62	5.0	6.3	9.4	17.5	22.1	4.4	24.4	5.0	33.2
ㄧㄥˉ	rhyme_tone	i˥ ŋ	1207	9.76	2.97	5.0	6.2	8.8	15.6	18.1	3.7	22.5	5.0	27.2
ㄧㄥˊ	rhyme_tone	i˥ ŋ	1832	10.39	3.45	5.0	6.2	9.4	17.5	19.4	3.8	25.0	5.0	29.1
ㄧㄥˋ	rhyme_tone	i˥ ŋ	1085	10.31	2.94	5.6	6.3	9.4	16.2	18.2	4.4	22.5	5.6	27.3
ㄧㄥ˙	rhyme_tone	i˥ ŋ	48	10.92	3.39	6.2	6.9	10.0	16.3	16.6	5.6	16.9	6.2	24.9
ㄨˇ	rhyme_tone	u˨˩˦	1346	8.36	3.86	2.8	4.4	7.2	16.9	20.0	1.9	25.6	2.8	30.0
ㄨˉ	rhyme_tone	u˨˩˦	1355	6.97	3.17	2.5	3.1	6.2	13.7	15.9	1.9	32.5	2.5	23.9
ㄨˊ	rhyme_tone	u˨˩˦	2362	7.09	3.39	2.5	3.1	6.2	14.4	17.5	1.9	26.2	2.5	26.3
ㄨˋ	rhyme_tone	u˨˩˦	3613	7.19	3.26	2.5	3.7	6.3	13.8	17.5	1.9	25.0	2.5	26.2
ㄨ˙	rhyme_tone	u˨˩˦	109	5.66	3.44	1.9	1.9	4.4	13.1	15.0	1.9	16.2	1.9	22.5
ㄨㄚˇ	rhyme_tone	w a˥	72	12.27	4.05	6.5	7.5	11.2	19.3	23.4	5.6	25.6	6.5	35.1
ㄨㄚˉ	rhyme_tone	w a˥	273	9.39	3.13	4.2	5.6	8.8	15.2	18.9	3.7	20.0	4.2	28.4
ㄨㄚˊ	rhyme_tone	w a˥	184	9.97	3.86	4.4	5.1	9.4	16.9	22.0	2.5	24.4	4.4	33.0
ㄨㄚˋ	rhyme_tone	w a˥	412	9.54	3.37	4.4	5.0	8.8	15.6	16.9	3.1	20.6	4.4	25.3
ㄨㄚ˙	rhyme_tone	w a˥	41	13.46	5.00	5.1	6.3	11.9	20.0	26.3	4.4	28.8	5.1	39.4
ㄨㄛˇ	rhyme_tone	ʔ w o	1562	9.33	3.07	4.4	5.6	8.8	15.6	20.6	1.9	25.6	4.4	30.9
ㄨㄛˉ	rhyme_tone	ʔ w o	1208	9.35	3.36	4.4	5.6	8.1	15.6	16.3	3.1	21.3	4.4	24.4
ㄨㄛˊ	rhyme_tone	ʔ w o	1230	8.02	3.09	3.8	4.4	7.5	14.7	19.4	1.9	25.6	3.8	29.1
ㄨㄛˋ	rhyme_tone	ʔ w o	1418	8.13	3.09	3.8	4.4	7.5	14.4	16.9	1.9	19.4	3.8	25.3
ㄨㄛ˙	rhyme_tone	ʔ w o	59	8.80	3.46	3.1	4.4	8.1	14.4	15.0	3.1	15.0	3.1	22.5
ㄨㄞˇ	rhyme_tone	w aj˥˩	46	10.82	4.14	6.2	7.5	9.4	19.1	23.2	5.6	23.8	6.2	34.8
ㄨㄞˉ	rhyme_tone	w aj˥˩	73	10.26	2.94	6.9	6.9	9.4	16.5	19.6	6.9	21.9	6.9	29.4
ㄨㄞˊ	rhyme_tone	w aj˥˩	83	9.01	3.36	5.0	5.1	8.1	17.4	19.0	5.0	20.0	5.0	28.5
ㄨㄞˋ	rhyme_tone	w aj˥˩	531	12.20	4.07	5.6	6.9	11.3	20.0	21.9	4.4	23.1	5.6	32.8
ㄨㄞ˙	rhyme_tone	w aj˥˩	8	9.84	1.73	7.5	7.5	10.0	12.5	13.0	7.5	13.1		
ㄨㄟˇ	rhyme_tone	w ej˧˥	505	10.33	4.50	4.4	5.6	8.8	19.4	21.8	1.9	23.7	4.4	32.8
ㄨㄟˉ	rhyme_tone	w ej˧˥	563	9.39	3.09	4.4	5.6	8.7	15.6	19.4	3.8	21.9	4.4	29.1
ㄨㄟˊ	rhyme_tone	w ej˧˥	1236	10.96	4.51	3.8	5.0	10.0	20.0	22.5	3.1	24.4	3.8	33.7
ㄨㄟˋ	rhyme_tone	w ej˧˥	2141	9.00	3.60	3.1	4.4	8.1	15.6	20.0	1.9	23.1	3.1	30.0
ㄨㄟ˙	rhyme_tone	w ej˧˥	25	6.03	3.29	1.9	1.9	6.2	10.0	14.3	1.9	15.6	1.9	21.4
ㄨㄢˇ	rhyme_tone	w a˥˩ n	457	12.76	3.69	6.9	8.1	11.9	20.0	22.2	6.2	23.8	6.9	33.2
ㄨㄢˉ	rhyme_tone	w a˥˩ n	700	11.07	2.76	6.9	8.1	10.6	16.9	19.4	6.2	23.1	6.9	29.1
ㄨㄢˊ	rhyme_tone	w a˥˩ n	673	12.40	3.67	6.9	7.5	11.9	20.0	22.5	5.6	25.0	6.9	33.7
ㄨㄢˋ	rhyme_tone	w a˥˩ n	572	11.42	2.90	6.3	7.5	11.2	16.3	18.7	5.6	21.2	6.3	28.1
ㄨㄢ˙	rhyme_tone	w a˥˩ n	87	9.11	3.26	4.9	5.6	7.5	15.6	16.5	4.4	18.1	4.9	24.8
ㄨㄣˇ	rhyme_tone	w ə˥˩ n	198	11.22	4.25	5.6	6.9	9.4	20.1	22.5	5.0	23.8	5.6	33.8
ㄨㄣˉ	rhyme_tone	w ə˥˩ n	442	9.83	3.04	5.3	6.2	9.4	15.6	18.5	4.4	21.9	5.3	27.7
ㄨㄣˊ	rhyme_tone	w ə˥˩ n	529	11.78	3.71	6.2	6.9	11.2	19.4	22.3	5.6	26.2	6.2	33.5
ㄨㄣˋ	rhyme_tone	w ə˥˩ n	503	11.79	3.26	6.3	6.9	11.3	17.5	20.0	5.6	22.5	6.3	30.0
ㄨㄣ˙	rhyme_tone	w ə˥˩ n	2	13.75	1.88	11.9	12.1	13.8	15.4	15.6	11.9	15.6		
ㄨㄤˇ	rhyme_tone	w a˥˩ ŋ	352	13.15	3.21	8.1	8.8	13.1	18.7	22.2	7.5	24.4	8.1	33.3
ㄨㄤˉ	rhyme_tone	w a˥˩ ŋ	435	11.08	2.76	6.9	7.5	10.0	16.9	18.7	5.6	20.0	6.9	28.1
ㄨㄤˊ	rhyme_tone	w a˥˩ ŋ	538	12.73	3.69	6.2	7.5	12.5	20.0	23.1	5.0	26.2	6.2	34.7
ㄨㄤˋ	rhyme_tone	w a˥˩ ŋ	367	12.71	3.35	6.9	8.1	12.5	18.8	21.2	6.2	21.9	6.9	31.9
